"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"NCI DAC",5,5,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/01/2020"
"NHGRI",3,2,1,0,0,3,2,1,0,0,3,2,1,0,0,"01/01/2020"
"NHLBI",2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,"01/01/2020"
"All DACs",10,7,1,0,2,6,5,1,0,1,6,5,1,0,1,"01/01/2020"
"CDAC",4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/02/2020"
"JAAMH",48,47,0,1,0,10,9,0,1,0,10,9,0,1,0,"01/02/2020"
"NCATS",5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,"01/02/2020"
"NCI DAC",82,70,12,0,0,26,20,8,0,0,25,19,8,0,0,"01/02/2020"
"NEI",5,4,1,0,0,2,2,1,0,0,2,2,1,0,0,"01/02/2020"
"NHGRI",58,44,14,0,0,20,17,4,0,0,20,17,4,0,0,"01/02/2020"
"NHLBI",100,80,20,0,0,6,3,5,0,0,6,3,5,0,0,"01/02/2020"
"NIAID",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2020"
"NIAMS",5,4,1,0,0,2,2,1,0,0,2,2,1,0,0,"01/02/2020"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2020"
"NIDCR",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2020"
"NIDDK",11,9,1,0,1,6,4,1,0,1,6,4,1,0,1,"01/02/2020"
"NIGMS",6,5,0,0,1,5,4,0,0,1,5,4,0,0,1,"01/02/2020"
"NINDS",11,10,0,0,1,5,5,0,0,1,5,5,0,0,1,"01/02/2020"
"All DACs",340,282,49,1,8,49,40,18,1,4,46,39,18,1,4,"01/02/2020"
"JAAMH",8,6,0,0,2,4,2,0,0,2,4,2,0,0,2,"01/03/2020"
"Kids First DAC",5,5,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2020"
"NCI DAC",20,13,7,0,0,10,7,3,0,0,10,7,3,0,0,"01/03/2020"
"NEI",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/03/2020"
"NHGRI",20,10,2,0,8,10,7,2,0,2,9,6,2,0,2,"01/03/2020"
"NHLBI",12,4,4,0,4,6,2,2,0,2,6,2,2,0,2,"01/03/2020"
"NIAMS",2,0,0,2,0,1,0,0,1,0,1,0,0,1,0,"01/03/2020"
"NIDDK",5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,"01/03/2020"
"NINDS",4,3,0,0,1,3,2,0,0,1,3,2,0,0,1,"01/03/2020"
"All DACs",77,41,13,2,21,24,18,6,1,4,22,17,6,1,4,"01/03/2020"
"JAAMH",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2020"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2020"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2020"
"JAAMH",16,15,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/05/2020"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2020"
"NHGRI",12,0,0,0,12,1,0,0,0,1,1,0,0,0,1,"01/05/2020"
"NHLBI",6,2,0,0,4,2,1,0,0,1,2,1,0,0,1,"01/05/2020"
"NINDS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2020"
"All DACs",38,21,0,0,17,2,2,0,0,1,2,2,0,0,1,"01/05/2020"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/06/2020"
"JAAMH",29,19,6,4,0,6,4,1,1,0,6,4,1,1,0,"01/06/2020"
"NCI DAC",46,42,4,0,0,29,25,4,0,0,24,21,4,0,0,"01/06/2020"
"NEI",5,5,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/06/2020"
"NHGRI",6,5,1,0,0,4,3,1,0,0,4,3,1,0,0,"01/06/2020"
"NHLBI",28,7,21,0,0,3,1,2,0,0,3,1,2,0,0,"01/06/2020"
"NICHD",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/06/2020"
"NIDDK",12,12,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2020"
"NIGMS",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/06/2020"
"NINDS",7,7,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/06/2020"
"All DACs",138,101,32,5,0,40,35,8,1,0,34,30,8,1,0,"01/06/2020"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2020"
"JAAMH",53,48,4,1,0,8,7,1,1,0,8,7,1,1,0,"01/07/2020"
"Kids First DAC",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2020"
"NCI DAC",44,34,9,0,1,25,20,5,0,1,21,16,5,0,1,"01/07/2020"
"NEI",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2020"
"NHGRI",15,13,2,0,0,7,5,2,0,0,7,5,2,0,0,"01/07/2020"
"NHLBI",7,1,6,0,0,4,1,3,0,0,4,1,3,0,0,"01/07/2020"
"NIAMS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2020"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2020"
"NIDCR",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/07/2020"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2020"
"NIGMS",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"01/07/2020"
"NINDS",6,6,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/07/2020"
"All DACs",140,115,22,2,1,44,33,12,2,1,40,29,12,2,1,"01/07/2020"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2020"
"JAAMH",9,8,0,0,1,4,3,0,0,1,4,3,0,0,1,"01/08/2020"
"NCI DAC",26,18,8,0,0,15,10,5,0,0,14,9,5,0,0,"01/08/2020"
"NHGRI",18,14,2,0,2,12,10,1,0,1,12,10,1,0,1,"01/08/2020"
"NHLBI",31,12,19,0,0,6,4,2,0,0,6,4,2,0,0,"01/08/2020"
"All DACs",85,53,29,0,3,28,21,8,0,2,25,20,8,0,2,"01/08/2020"
"CDAC",3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/09/2020"
"JAAMH",11,11,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/09/2020"
"NCI DAC",36,20,7,0,9,13,8,5,0,1,13,8,5,0,1,"01/09/2020"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2020"
"NHGRI",11,2,9,0,0,5,2,3,0,0,5,2,3,0,0,"01/09/2020"
"NHLBI",5,4,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/09/2020"
"All DACs",67,41,16,0,10,17,12,8,0,2,17,12,8,0,2,"01/09/2020"
"CDAC",4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/10/2020"
"JAAMH",86,86,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/10/2020"
"Kids First DAC",4,1,3,0,0,2,1,1,0,0,2,1,1,0,0,"01/10/2020"
"NCI DAC",31,19,12,0,0,17,13,4,0,0,14,10,4,0,0,"01/10/2020"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2020"
"NHGRI",64,47,17,0,0,12,10,3,0,0,12,10,3,0,0,"01/10/2020"
"NHLBI",90,13,77,0,0,6,2,4,0,0,5,2,4,0,0,"01/10/2020"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2020"
"NICHD",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2020"
"NIDDK",9,2,0,0,7,3,2,0,0,1,3,2,0,0,1,"01/10/2020"
"NIGMS",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/10/2020"
"NINDS",41,24,17,0,0,2,2,1,0,0,2,2,1,0,0,"01/10/2020"
"All DACs",338,205,126,0,7,29,23,9,0,1,24,18,9,0,1,"01/10/2020"
"JAAMH",4,4,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/11/2020"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2020"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2020"
"NHLBI",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2020"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2020"
"All DACs",11,11,0,0,0,3,3,0,0,0,2,2,0,0,0,"01/11/2020"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2020"
"JAAMH",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2020"
"NCI DAC",6,4,2,0,0,4,4,1,0,0,4,4,1,0,0,"01/12/2020"
"NHGRI",3,2,1,0,0,2,1,1,0,0,2,1,1,0,0,"01/12/2020"
"NHLBI",7,6,1,0,0,1,1,1,0,0,1,1,1,0,0,"01/12/2020"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2020"
