"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2017"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2017"
"JAAMH",19,11,0,8,0,3,2,0,2,0,3,2,0,2,0,"01/02/2017"
"NCI DAC",10,10,0,0,0,4,4,0,0,0,3,3,0,0,0,"01/02/2017"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2017"
"NHGRI",18,16,2,0,0,6,4,2,0,0,5,3,2,0,0,"01/02/2017"
"NHLBI",2,1,1,0,0,2,1,1,0,0,2,1,1,0,0,"01/02/2017"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2017"
"NIDDK",4,0,0,4,0,2,0,0,2,0,1,0,0,1,0,"01/02/2017"
"NINDS",5,4,0,1,0,1,1,0,1,0,1,1,0,1,0,"01/02/2017"
"All DACs",60,44,3,13,0,12,9,2,4,0,9,8,2,3,0,"01/02/2017"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2017"
"JAAMH",23,23,0,0,0,7,7,0,0,0,7,7,0,0,0,"01/03/2017"
"NCI DAC",79,64,5,10,0,21,16,5,4,0,21,16,5,4,0,"01/03/2017"
"NEI",6,6,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/03/2017"
"NHGRI",53,52,1,0,0,17,17,1,0,0,17,17,1,0,0,"01/03/2017"
"NHLBI",11,7,4,0,0,4,2,2,0,0,4,2,2,0,0,"01/03/2017"
"NIAID",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2017"
"NIDCR",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/03/2017"
"NIGMS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/03/2017"
"NINDS",5,5,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/03/2017"
"All DACs",183,163,10,10,0,39,33,7,4,0,36,30,7,4,0,"01/03/2017"
"CDAC",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"01/04/2017"
"JAAMH",17,16,0,1,0,8,7,0,1,0,8,7,0,1,0,"01/04/2017"
"NCI DAC",32,32,0,0,0,13,13,0,0,0,13,13,0,0,0,"01/04/2017"
"NHGRI",22,21,1,0,0,10,9,1,0,0,10,9,1,0,0,"01/04/2017"
"NHLBI",17,10,0,7,0,7,4,0,3,0,7,4,0,3,0,"01/04/2017"
"NIAMS",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2017"
"NIDDK",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/04/2017"
"NIGMS",3,2,0,1,0,2,2,0,1,0,2,2,0,1,0,"01/04/2017"
"NINDS",10,10,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/04/2017"
