"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/12/2018"
"NIGMS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"11/12/2018"
"All DACs",140,100,38,1,1,25,19,10,1,1,24,18,10,1,1,"11/12/2018"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/13/2018"
"ES DAC",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"11/13/2018"
"JAAMH",15,6,7,2,0,7,4,1,2,0,7,4,1,2,0,"11/13/2018"
"NCI DAC",28,24,4,0,0,15,14,2,0,0,15,14,2,0,0,"11/13/2018"
"NHGRI",7,6,1,0,0,4,3,1,0,0,4,3,1,0,0,"11/13/2018"
"NHLBI",31,31,0,0,0,5,5,0,0,0,5,5,0,0,0,"11/13/2018"
"NIAID",2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,"11/13/2018"
"NIDDK",3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,"11/13/2018"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/13/2018"
"NINDS",5,5,0,0,0,3,3,0,0,0,3,3,0,0,0,"11/13/2018"
"All DACs",96,77,12,2,5,29,25,3,2,1,29,25,3,2,1,"11/13/2018"
"JAAMH",5,5,0,0,0,5,5,0,0,0,5,5,0,0,0,"11/14/2018"
"NCI DAC",63,62,1,0,0,7,6,1,0,0,7,6,1,0,0,"11/14/2018"
"NEI",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"11/14/2018"
"NHGRI",38,31,7,0,0,13,10,4,0,0,12,9,4,0,0,"11/14/2018"
"NHLBI",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"11/14/2018"
"NIDCR",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"11/14/2018"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/14/2018"
"NINDS",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/14/2018"
"All DACs",118,109,9,0,0,21,18,6,0,0,20,17,6,0,0,"11/14/2018"
