"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"All DACs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"01/01/2016"
"All DACs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"01/02/2016"
"JAAMH",8,8,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/03/2016"
"NCI DAC",3,1,2,0,0,2,1,1,0,0,2,1,1,0,0,"01/03/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2016"
"NHGRI",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/03/2016"
"NINDS",4,2,0,2,0,3,1,0,2,0,3,1,0,2,0,"01/03/2016"
"All DACs",17,12,3,2,0,8,4,2,2,0,7,4,2,2,0,"01/03/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2016"
"JAAMH",50,40,0,5,5,9,8,0,1,1,7,6,0,1,1,"01/04/2016"
"NCI DAC",73,69,3,0,1,18,17,3,0,1,17,16,2,0,1,"01/04/2016"
"NEI",11,11,0,0,0,4,4,0,0,0,3,3,0,0,0,"01/04/2016"
"NHGRI",65,60,5,0,0,12,12,1,0,0,8,8,1,0,0,"01/04/2016"
"NHLBI",36,16,3,3,14,10,7,1,2,2,9,6,1,2,2,"01/04/2016"
"NIAMS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/04/2016"
"NICHD",3,1,0,1,1,3,1,0,1,1,2,1,0,1,1,"01/04/2016"
"NIDCR",6,3,3,0,0,2,1,1,0,0,2,1,1,0,0,"01/04/2016"
"NIDDK",11,6,0,4,1,4,1,0,2,1,3,1,0,1,1,"01/04/2016"
"NIGMS",2,0,0,2,0,1,0,0,1,0,1,0,0,1,0,"01/04/2016"
"NINDS",20,19,0,1,0,8,8,0,1,0,3,3,0,1,0,"01/04/2016"
"All DACs",280,228,14,16,22,42,39,4,5,2,28,26,3,4,2,"01/04/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2016"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2016"
"JAAMH",28,12,1,1,14,9,5,1,1,3,9,5,1,1,3,"01/05/2016"
"NCI DAC",29,26,1,0,2,15,13,1,0,1,14,12,1,0,1,"01/05/2016"
"NEI",8,6,0,2,0,3,2,0,1,0,3,2,0,1,0,"01/05/2016"
"NHGRI",34,16,18,0,0,12,9,4,0,0,12,9,4,0,0,"01/05/2016"
"NHLBI",13,9,1,3,0,5,5,1,1,0,5,5,1,1,0,"01/05/2016"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2016"
