"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"JAAMH",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/01/2019"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2019"
"NHGRI",10,9,1,0,0,4,3,1,0,0,4,3,1,0,0,"01/01/2019"
"NIAMS",9,9,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/01/2019"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2019"
"NINDS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/01/2019"
"All DACs",24,22,1,1,0,6,6,1,1,0,6,6,1,1,0,"01/01/2019"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/02/2019"
"JAAMH",24,24,0,0,0,8,8,0,0,0,7,7,0,0,0,"01/02/2019"
"NCI DAC",83,22,61,0,0,20,15,5,0,0,18,13,5,0,0,"01/02/2019"
"NHGRI",21,19,2,0,0,11,10,1,0,0,11,10,1,0,0,"01/02/2019"
"NHLBI",132,95,2,0,35,6,3,2,0,1,6,3,2,0,1,"01/02/2019"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2019"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/02/2019"
"NIGMS",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/02/2019"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/02/2019"
"All DACs",268,167,65,1,35,37,32,6,1,1,34,29,6,1,1,"01/02/2019"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/03/2019"
"JAAMH",38,21,3,0,14,5,3,1,0,1,5,3,1,0,1,"01/03/2019"
"NCI DAC",58,56,2,0,0,20,18,2,0,0,19,17,2,0,0,"01/03/2019"
"NEI",7,3,1,0,3,2,1,1,0,1,2,1,1,0,1,"01/03/2019"
"NHGRI",20,16,4,0,0,7,5,2,0,0,7,5,2,0,0,"01/03/2019"
"NHLBI",16,15,1,0,0,4,4,1,0,0,4,4,1,0,0,"01/03/2019"
"NIAMS",3,2,1,0,0,2,1,1,0,0,2,1,1,0,0,"01/03/2019"
"NICHD",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/03/2019"
"NIDCR",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/03/2019"
"NIDDK",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/03/2019"
"NIGMS",3,2,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/03/2019"
"NINDS",6,6,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/03/2019"
"All DACs",162,131,12,1,18,27,24,7,1,1,26,23,7,1,1,"01/03/2019"
