"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"JAAMH",0,11,5.9,0.9,1.4,1.3,43.1,43.2,43.2,43,43,43,7.2,7.2,7.2,8.4,44.6,43.8,"01/07/2020"
"Kids First DAC",41.8,41.8,41.8,5.3,5.3,5.3,0.2,3,1.6,NA,NA,NA,NA,NA,NA,5.5,8.3,6.9,"01/07/2020"
"NCI DAC",0,11,4.2,0.8,5.3,1.8,0,3.2,0.1,0,0,0,NA,NA,NA,0.9,8,1.9,"01/07/2020"
"NEI",3.8,3.8,3.8,38.1,38.1,38.1,7.2,7.2,7.2,NA,NA,NA,NA,NA,NA,45.3,45.3,45.3,"01/07/2020"
"NHGRI",0,25.1,9.7,9.1,9.6,9.4,0,4.6,0.4,0,6.8,3.4,NA,NA,NA,9.2,15.9,10.1,"01/07/2020"
"NHLBI",0,5.1,2.7,44.1,51.2,47.9,0,0,0,0,0,0,NA,NA,NA,44.1,51.2,47.9,"01/07/2020"
"NIAMS",0.9,11,7.6,9.9,10.2,10.1,4.1,11.2,6.5,NA,NA,NA,NA,NA,NA,14.3,21.1,16.6,"01/07/2020"
"NICHD",3.8,3.8,3.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,"01/07/2020"
"NIDCR",3.8,3.8,3.8,0,0,0,NA,NA,NA,14,14,14,NA,NA,NA,14,14,14,"01/07/2020"
"NIDDK",47.2,47.2,47.2,27.8,27.8,27.8,10.9,10.9,10.9,NA,NA,NA,NA,NA,NA,38.7,38.7,38.7,"01/07/2020"
"NIGMS",3.8,11,7.4,48.3,48.5,48.4,7.9,7.9,7.9,NA,NA,NA,7.9,7.9,7.9,56.2,56.4,56.3,"01/07/2020"
"NINDS",0.9,16,10.2,1,1.3,1.2,0,6.2,1,NA,NA,NA,NA,NA,NA,1,7.3,2.2,"01/07/2020"
"All DACs",0,47.2,6.5,0,51.2,6.5,0,43.2,18.7,0,43,8.8,7.2,7.9,7.5,0,56.4,23.5,"01/07/2020"
"CDAC",44.1,44.1,44.1,9.4,9.4,9.4,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,9.6,9.6,9.6,"01/08/2020"
"JAAMH",0,20.6,8,0,8,1.9,35.1,43.2,41.2,NA,NA,NA,NA,NA,NA,43.1,43.5,43.3,"01/08/2020"
"NCI DAC",0,20.6,2.6,0,3.6,0.6,0,0.8,0.3,0,0.8,0.3,NA,NA,NA,0,3.6,0.9,"01/08/2020"
"NHGRI",0,20.6,3.6,12.5,18.5,13.3,0,43.2,4.4,0,0,0,NA,NA,NA,12.5,56,17.1,"01/08/2020"
"NHLBI",0,44.1,5,49.8,55.3,50.6,0,161.9,31.1,0,7.2,1,NA,NA,NA,49.8,212,62.8,"01/08/2020"
"All DACs",0,44.1,4.8,0,55.3,22,0,161.9,14.5,0,7.2,0.7,NA,NA,NA,0,212,31.7,"01/08/2020"
"CDAC",2.4,48.7,24.1,7.8,8.4,8.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,8,8.6,8.4,"01/09/2020"
"JAAMH",6.2,7.1,6.2,7,7.6,7.5,35.1,35.1,35.1,NA,NA,NA,NA,NA,NA,42.1,42.7,42.6,"01/09/2020"
"NCI DAC",0,48.7,7.2,0.2,0.9,0.5,0.1,0.5,0.1,0,0.1,0.1,NA,NA,NA,0.3,1,0.6,"01/09/2020"
"NEI",6.2,6.2,6.2,36.4,36.4,36.4,7.2,7.2,7.2,NA,NA,NA,NA,NA,NA,43.6,43.6,43.6,"01/09/2020"
"NHGRI",0.7,2.5,2,11.8,18,12.8,0,2.2,0.3,0,0,0,NA,NA,NA,11.8,20.3,13.1,"01/09/2020"
"NHLBI",2.4,7.1,6.1,48.9,48.9,48.9,0,0,0,NA,NA,NA,NA,NA,NA,48.9,48.9,48.9,"01/09/2020"
"All DACs",0,48.7,6.8,0.2,48.9,8.7,0,35.1,8.5,0,0.1,0.1,NA,NA,NA,0.3,48.9,15.7,"01/09/2020"
"CDAC",0,38.4,17.5,7,7.5,7.4,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,7.2,7.7,7.6,"01/10/2020"
"JAAMH",0,38.4,7.1,6.7,6.7,6.7,35.1,35.1,35.1,NA,NA,NA,NA,NA,NA,41.8,41.8,41.8,"01/10/2020"
"Kids First DAC",0,31.4,7.8,0.6,0.6,0.6,0,0,0,0,0,0,NA,NA,NA,0.6,0.6,0.6,"01/10/2020"
"NCI DAC",0,45.2,4.5,0,13.7,4.1,0,1.1,0.4,0,1,0.1,NA,NA,NA,0,13.7,4.4,"01/10/2020"
"NEI",0,0,0,14.5,14.5,14.5,12.9,12.9,12.9,NA,NA,NA,NA,NA,NA,27.4,27.4,27.4,"01/10/2020"
"NHGRI",0,38.4,15.6,10.9,17.3,14.1,0,3.3,0.6,0,3.3,2.9,NA,NA,NA,10.9,20.6,15.3,"01/10/2020"
"NHLBI",0,38.6,31.7,4.5,53.4,45.3,0,40.3,5.4,0,40.3,3.2,NA,NA,NA,20.6,61.4,48,"01/10/2020"
"NIAMS",38.4,38.4,38.4,7.4,7.4,7.4,4,4,4,NA,NA,NA,NA,NA,NA,11.5,11.5,11.5,"01/10/2020"
"NICHD",0,0,0,3.5,3.5,3.5,23.9,23.9,23.9,NA,NA,NA,NA,NA,NA,27.4,27.4,27.4,"01/10/2020"
"NIDDK",1.1,38.4,33.5,25,25.6,25.6,31,31,31,NA,NA,NA,NA,NA,NA,56,56.6,56.3,"01/10/2020"
"NIGMS",0,31.4,15.7,45.6,45.7,45.6,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,53.5,53.5,53.5,"01/10/2020"
"NINDS",0,38.4,1.9,6.3,6.4,6.3,0.1,134.3,123.6,1.3,134.3,59.3,NA,NA,NA,6.5,140.7,134.4,"01/10/2020"
"All DACs",0,45.2,15.3,0,53.4,19,0,134.3,30.4,0,134.3,17.6,NA,NA,NA,0,140.7,45.4,"01/10/2020"
"JAAMH",5,5,5,5.1,5.1,5.1,35.1,35.1,35.1,NA,NA,NA,NA,NA,NA,40.2,40.2,40.2,"01/11/2020"
"NCI DAC",2.6,2.6,2.6,1.1,1.1,1.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,1.2,1.2,1.2,"01/11/2020"
"NHGRI",5,5,5,15.8,15.8,15.8,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,18,18,18,"01/11/2020"
"NHLBI",5,5,5,47,47,47,0,0,0,NA,NA,NA,NA,NA,NA,47,47,47,"01/11/2020"
"NIGMS",5,5,5,44,44,44,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,51.9,51.9,51.9,"01/11/2020"
"All DACs",2.6,5,4.8,1.1,47,24.5,0,35.1,13.7,NA,NA,NA,NA,NA,NA,1.2,51.9,38.2,"01/11/2020"
"CDAC",2.6,2.6,2.6,4.8,4.8,4.8,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,5,5,"01/12/2020"
"JAAMH",2.6,2.6,2.6,4,4,4,35.1,35.1,35.1,NA,NA,NA,NA,NA,NA,39,39,39,"01/12/2020"
"NCI DAC",0,2.8,1.8,0.1,0.8,0.6,0,4.8,1.7,0,0,0,NA,NA,NA,0.6,4.9,1.8,"01/12/2020"
"NHGRI",2.6,38.7,14.7,9,9.5,9.1,0,0,0,0,0,0,NA,NA,NA,9,9.5,9.1,"01/12/2020"
"NHLBI",2.6,2.6,2.6,50.7,50.7,50.7,6,6,6,6,6,6,NA,NA,NA,56.7,56.7,56.7,"01/12/2020"
"NIAMS",2.6,2.6,2.6,4.7,4.7,4.7,4,4,4,NA,NA,NA,NA,NA,NA,8.7,8.7,8.7,"01/12/2020"
"NINDS",2.6,2.6,2.6,3.6,3.6,3.6,0,0,0,NA,NA,NA,NA,NA,NA,3.6,3.6,3.6,"01/12/2020"
"All DACs",0,38.7,4.2,0.1,50.7,20.1,0,35.1,5.1,0,6,1.5,NA,NA,NA,0.6,56.7,24.5,"01/12/2020"
"JAAMH",0.5,82.9,12.3,2.8,3.6,3.2,35.1,35.1,35.1,6.7,6.7,6.7,NA,NA,NA,9.7,38.7,33.4,"01/13/2020"
"Kids First DAC",7,7,7,0.1,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,"01/13/2020"
"NCI DAC",0,55.9,6.7,0,2.3,0.6,0,1.9,0.2,0,0.1,0.1,NA,NA,NA,0,2.4,0.8,"01/13/2020"
"NHGRI",0,82.9,12.9,3.4,13.6,9.2,0,7.1,0.6,0,2.2,0.3,NA,NA,NA,3.4,16.2,9.7,"01/13/2020"
"NHLBI",0,13,4.5,2.2,50.3,37,0,5,2.1,0,14,1.4,NA,NA,NA,2.2,64.4,39.3,"01/13/2020"
"NIAID",6,6,6,22.8,22.8,22.8,0,0,0,NA,NA,NA,NA,NA,NA,22.9,22.9,22.9,"01/13/2020"
"NIAMS",0.8,0.8,0.8,4.3,4.3,4.3,4,4,4,NA,NA,NA,NA,NA,NA,8.3,8.3,8.3,"01/13/2020"
"NIDCR",7.8,82.9,64.1,7.7,8.4,7.8,NA,NA,NA,1,9.1,7.1,NA,NA,NA,9.3,16.8,14.9,"01/13/2020"
"NIGMS",3,3,3,42.2,42.2,42.2,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,50.2,50.2,50.2,"01/13/2020"
"NINDS",3,82.9,24,2.6,3,2.9,0,36.2,14.6,NA,NA,NA,NA,NA,NA,3,39.2,17.5,"01/13/2020"
"NINR DAC",4.6,4.6,4.6,2.1,2.1,2.1,8.8,8.8,8.8,NA,NA,NA,NA,NA,NA,10.9,10.9,10.9,"01/13/2020"
"All DACs",0,82.9,9.3,0,50.3,14.4,0,36.2,5.6,0,14,1.7,NA,NA,NA,0,64.4,19.2,"01/13/2020"
"CDAC",42,42,42,3.1,3.1,3.1,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,3.3,3.3,3.3,"01/14/2020"
"ES DAC",12.9,12.9,12.9,2.9,2.9,2.9,6.9,6.9,6.9,NA,NA,NA,NA,NA,NA,9.8,9.8,9.8,"01/14/2020"
"JAAMH",0,42,14.8,1.9,2.4,2.1,35.1,35.1,35.1,NA,NA,NA,6.8,6.8,6.8,8.8,37.5,32.9,"01/14/2020"
"NCI DAC",0,45.8,5.8,0.7,10.4,2.1,0,5.9,0.6,0,0,0,NA,NA,NA,0.7,10.8,2.5,"01/14/2020"
"NEI",12.9,20,18.3,30.9,30.9,30.9,7.2,7.2,7.2,NA,NA,NA,NA,NA,NA,38.1,38.1,38.1,"01/14/2020"
"NHGRI",0,42,13.2,8.5,12.8,9.5,0,6.2,2.6,0,0,0,NA,NA,NA,8.5,15.1,11.4,"01/14/2020"
"NHLBI",0,35,13.9,45.1,49.2,45.6,6,14.1,8.7,0,0,0,NA,NA,NA,45.1,63.3,46.7,"01/14/2020"
"NICHD",4.1,4.1,4.1,3,3,3,19.8,19.8,19.8,NA,NA,NA,NA,NA,NA,22.8,22.8,22.8,"01/14/2020"
"NIDCR",0,0,0,6.9,6.9,6.9,9.1,9.1,9.1,NA,NA,NA,NA,NA,NA,16,16,16,"01/14/2020"
"NIDDK",0,35,16.4,21.2,52.1,45.9,0,0,0,0,0,0,NA,NA,NA,52,52.1,52.1,"01/14/2020"
"NIGMS",1,1,1,41.3,41.3,41.3,NA,NA,NA,NA,NA,NA,7.9,7.9,7.9,49.2,49.2,49.2,"01/14/2020"
"NINDS",0,25.7,8,1.7,2.3,2,0,11.2,4.8,0.1,1.2,1,NA,NA,NA,1.7,13,5.1,"01/14/2020"
"All DACs",0,45.8,12.2,0.7,52.1,23.3,0,35.1,8.8,0,1.2,0.1,6.8,7.9,7.1,0.7,63.3,28,"01/14/2020"
"CDAC",8.9,8.9,8.9,1.8,1.8,1.8,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,2,2,2,"01/15/2020"
"ES DAC",0.5,0.5,0.5,1.7,1.7,1.7,NA,NA,NA,NA,NA,NA,0,0,0,1.7,1.7,1.7,"01/15/2020"
"JAAMH",0,22,5.2,0.8,1.6,1.1,35.1,35.1,35.1,6.8,6.8,6.8,6.8,6.8,6.8,7.8,36.8,22.6,"01/15/2020"
"NCI DAC",0,29,14.9,0,1.8,1.1,0,5.9,2.3,0,0,0,NA,NA,NA,0,7.7,3.4,"01/15/2020"
"NEI",0,1.8,0.4,9,9.4,9.1,12.9,12.9,12.9,NA,NA,NA,NA,NA,NA,22,22.3,22.1,"01/15/2020"
"NHGRI",0,27,10.1,7.9,11.8,8.7,0,3.3,1,0,2.2,0.1,NA,NA,NA,7.9,15,9.1,"01/15/2020"
"NHLBI",0,40.2,7.7,15,47.9,37.9,0,34.2,19.5,0,34.1,11.4,NA,NA,NA,15,82.1,55,"01/15/2020"
"NIAMS",0,1.8,0.7,2.2,2.4,2.2,11.2,11.2,11.2,4,4,4,NA,NA,NA,6.4,13.3,10.5,"01/15/2020"
"NICHD",5,8.9,7,7.8,7.8,7.8,0,0,0,NA,NA,NA,NA,NA,NA,7.8,7.8,7.8,"01/15/2020"
"NIDDK",0,8.9,2.5,20.2,20.5,20.5,10.9,10.9,10.9,NA,NA,NA,0.1,0.1,0.1,20.6,31,22.4,"01/15/2020"
"NINDS",1.8,1.8,1.8,1.3,1.3,1.3,NA,NA,NA,1.2,1.2,1.2,NA,NA,NA,2.5,2.5,2.5,"01/15/2020"
"All DACs",0,40.2,8.2,0,47.9,7.5,0,35.1,10.2,0,34.1,2.2,0,6.8,3.1,0,82.1,15.2,"01/15/2020"
"CDAC",10.1,10.1,10.1,1.2,1.2,1.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,1.4,1.4,1.4,"01/16/2020"
"JAAMH",0,10.1,7.4,0,0.4,0.3,35.1,35.1,35.1,6.8,6.8,6.8,NA,NA,NA,7.2,35.3,17.7,"01/16/2020"
"NCI DAC",0,38.2,3.1,0,0.8,0.4,0,0,0,0,0,0,NA,NA,NA,0,0.8,0.4,"01/16/2020"
"NEI",10.1,10.1,10.1,29.2,29.2,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/16/2020"
"NHGRI",0,10.1,5.4,7.3,11.2,8.1,0,2.8,0.4,12,12,12,NA,NA,NA,7.3,19.3,8.8,"01/16/2020"
"NHLBI",0,10.1,9.2,45.8,47.1,47,0,0,0,0,0,0,NA,NA,NA,45.8,47.1,47,"01/16/2020"
"NIAMS",0.9,0.9,0.9,0.9,0.9,0.9,11.1,11.1,11.1,NA,NA,NA,NA,NA,NA,12,12,12,"01/16/2020"
"NIDCR",0.1,0.1,0.1,4.9,4.9,4.9,1,1,1,NA,NA,NA,NA,NA,NA,5.8,5.8,5.8,"01/16/2020"
"NIGMS",1.8,1.8,1.8,39.2,39.2,39.2,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,47.2,47.2,47.2,"01/16/2020"
"NINDS",0,10.1,6.5,0.1,4.8,1.4,0,13.2,2.8,1.9,1.9,1.9,NA,NA,NA,0.1,13.5,4,"01/16/2020"
"NINR DAC",0,0,0,5.8,5.8,5.8,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA,7.7,7.7,7.7,"01/16/2020"
"All DACs",0,38.2,6.5,0,47.1,20.6,0,35.1,2.1,0,12,0.6,NA,NA,NA,0,47.2,22.3,"01/16/2020"
"CDAC",0.3,0.3,0.3,7.1,7.1,7.1,0,0,0,NA,NA,NA,NA,NA,NA,7.1,7.1,7.1,"01/17/2020"
"JAAMH",0.3,10.7,0.8,10.2,10.6,10.2,24.1,24.1,24.1,NA,NA,NA,2,2,2,12.5,34.7,33.3,"01/17/2020"
"Kids First DAC",0.3,0.7,0.5,2.2,9,5,0,3.2,2.1,0,0,0,NA,NA,NA,2.2,12.2,6.2,"01/17/2020"
"NCI DAC",0,10.7,0.8,0,9,3.5,0,5.5,1.8,0,0,0,NA,NA,NA,0,12.4,5.2,"01/17/2020"
"NEI",0.3,0.3,0.3,27.9,27.9,27.9,7.2,7.2,7.2,NA,NA,NA,NA,NA,NA,35.1,35.1,35.1,"01/17/2020"
"NHGRI",0,76.7,1.8,7,16.8,10,0,2.3,0.2,0,8.1,0.2,NA,NA,NA,7,19,10.2,"01/17/2020"
"NHLBI",0,0.9,0.3,32.8,46,45.5,0,5.3,0.4,0,0,0,NA,NA,NA,38,46,45.7,"01/17/2020"
"NIAID",0.3,0.3,0.3,18.9,18.9,18.9,0,33.2,13.3,NA,NA,NA,NA,NA,NA,18.9,52.1,32.2,"01/17/2020"
"NIAMS",0.8,0.8,0.8,0,0,0,11.1,11.1,11.1,NA,NA,NA,NA,NA,NA,11.1,11.1,11.1,"01/17/2020"
"NICHD",0.3,0.3,0.3,5.8,5.8,5.8,0,0,0,0,0,0,NA,NA,NA,5.8,5.8,5.8,"01/17/2020"
"NIDCD DAC",0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/17/2020"
"NIDCR",0.3,0.3,0.3,3.9,3.9,3.9,NA,NA,NA,1,1,1,NA,NA,NA,4.8,4.8,4.8,"01/17/2020"
"NIDDK",0.3,0.3,0.3,49,49,49,0,0,0,NA,NA,NA,NA,NA,NA,49,49,49,"01/17/2020"
"NIGMS",0.3,0.3,0.3,38.1,38.1,38.1,7.9,7.9,7.9,NA,NA,NA,7.9,7.9,7.9,46,46,46,"01/17/2020"
"NINDS",0.3,0.3,0.3,3.9,3.9,3.9,0.2,8.1,2.1,NA,NA,NA,NA,NA,NA,4.1,12,6.1,"01/17/2020"
"All DACs",0,76.7,0.9,0,49,21,0,33.2,4.5,0,8.1,0.1,2,7.9,4.9,0,52.1,23.9,"01/17/2020"
"NCI DAC",0,0,0,1.4,1.4,1.4,NA,NA,NA,0,0,0,NA,NA,NA,1.4,1.4,1.4,"01/18/2020"
"All DACs",0,0,0,1.4,1.4,1.4,NA,NA,NA,0,0,0,NA,NA,NA,1.4,1.4,1.4,"01/18/2020"
"NCI DAC",0,4.1,0.8,0.2,4.9,1.2,0,0,0,0.1,0.1,0.1,NA,NA,NA,0.2,5,1.2,"01/19/2020"
"NHGRI",0,0,0,14.8,14.8,14.8,2.3,2.3,2.3,NA,NA,NA,NA,NA,NA,17.1,17.1,17.1,"01/19/2020"
"All DACs",0,4.1,0.7,0.2,14.8,3.4,0,2.3,0.5,0.1,0.1,0.1,NA,NA,NA,0.2,17.1,3.8,"01/19/2020"
"CDAC",0,3,1.5,4.1,4.3,4.2,0,0,0,NA,NA,NA,NA,NA,NA,4.1,4.3,4.2,"01/20/2020"
"ES DAC",12,12,12,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA,0,0,0,4.2,4.2,4.2,"01/20/2020"
