"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"NCI DAC",0,13.9,3.6,1.2,1.7,1.5,0,0,0,NA,NA,NA,NA,NA,NA,1.2,1.7,1.5,"01/01/2020"
"NHGRI",0,2.2,0.9,0.5,12.2,4.6,0,3.1,1.6,0,0,0,NA,NA,NA,0.5,15.3,5.7,"01/01/2020"
"NHLBI",0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/01/2020"
"All DACs",0,13.9,2.1,0.5,12.2,2.7,0,3.1,0.4,0,0,0,NA,NA,NA,0.5,15.3,3.1,"01/01/2020"
"CDAC",0,0.3,0.2,0.9,1.3,1,0,0,0,NA,NA,NA,NA,NA,NA,0.9,1.4,1.1,"01/02/2020"
"JAAMH",0,13.1,1.8,5.9,6.4,6.1,43.1,43.1,43.1,NA,NA,NA,7.1,7.1,7.1,13.2,49.5,48.4,"01/02/2020"
"NCATS",0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2020"
"NCI DAC",0,30.9,1.7,0,1.2,0.4,0,2.5,0,0,0,0,NA,NA,NA,0,3.2,0.5,"01/02/2020"
"NEI",0.1,0.3,0.1,0.9,42.8,34.4,7.2,21,10.7,7.2,7.2,7.2,NA,NA,NA,21.9,50,44.4,"01/02/2020"
"NHGRI",0,13.8,2.5,0,14.3,3,0,28.1,2.7,0,6.8,0.7,NA,NA,NA,0,28.2,5.3,"01/02/2020"
"NHLBI",0,15.8,9.3,13.9,47.8,24,0,5.3,1.3,0,5.3,0.5,NA,NA,NA,13.9,53.1,25.1,"01/02/2020"
"NIAID",0.3,0.3,0.3,0.8,0.8,0.8,33,33,33,NA,NA,NA,NA,NA,NA,33.9,33.9,33.9,"01/02/2020"
"NIAMS",0.1,1.5,0.9,0.5,3.7,1.8,1.2,11.9,6.5,11.9,11.9,11.9,NA,NA,NA,4.9,12.3,9.3,"01/02/2020"
"NICHD",13.1,13.1,13.1,4.9,4.9,4.9,0,0,0,NA,NA,NA,NA,NA,NA,4.9,4.9,4.9,"01/02/2020"
"NIDCR",0.1,0.1,0.1,0.7,0.7,0.7,7,7,7,NA,NA,NA,NA,NA,NA,7.7,7.7,7.7,"01/02/2020"
"NIDDK",0,13.1,1.9,32.9,33.4,33.2,0,31,7.1,31,31,31,NA,NA,NA,33.1,64,42.7,"01/02/2020"
"NIGMS",0,13.1,4.3,53,53.4,53.1,0,7.9,3.3,NA,NA,NA,NA,NA,NA,53.2,60.9,56.4,"01/02/2020"
"NINDS",0,13.1,2.2,0.8,1.2,0.8,0,0,0,NA,NA,NA,NA,NA,NA,0.8,1.2,0.8,"01/02/2020"
"All DACs",0,30.9,4.1,0,53.4,11.1,0,43.1,8.7,0,31,1.4,7.1,7.1,7.1,0,64,18.8,"01/02/2020"
"JAAMH",0,0.5,0.3,4.6,5.1,5,43.1,43.1,43.1,NA,NA,NA,NA,NA,NA,48.1,48.2,48.2,"01/03/2020"
"Kids First DAC",0.1,0.1,0.1,0,0,0,6.5,6.5,6.5,NA,NA,NA,NA,NA,NA,6.5,6.5,6.5,"01/03/2020"
"NCI DAC",0,16.1,2.3,0,2.3,1.2,0,4.1,0.5,0,0,0,NA,NA,NA,0,6.4,1.5,"01/03/2020"
"NEI",0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/03/2020"
"NHGRI",0,16.1,3.1,0,13.1,4.7,0,3.1,0.6,0,3.1,1.6,NA,NA,NA,0,13.1,5.4,"01/03/2020"
"NHLBI",0,14.2,5,5,52,37.6,0,0,0,0,19.3,9.7,NA,NA,NA,24.4,52,42.4,"01/03/2020"
"NIAMS",0.3,0.3,0.3,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,1.2,1.2,1.2,3.6,3.6,3.6,"01/03/2020"
"NIDDK",0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/03/2020"
"NINDS",0,0.3,0.1,2.7,3.2,3.1,2.7,11,7.2,NA,NA,NA,1.8,1.8,1.8,5.9,14.2,10.4,"01/03/2020"
"All DACs",0,16.1,2.3,0,52,7.4,0,43.1,7.9,0,19.3,3.2,1.2,1.8,1.4,0,52,14.2,"01/03/2020"
"JAAMH",0,0,0,3.9,3.9,3.9,43.1,43.1,43.1,NA,NA,NA,NA,NA,NA,47,47,47,"01/04/2020"
"All DACs",0,0,0,3.9,3.9,3.9,43.1,43.1,43.1,NA,NA,NA,NA,NA,NA,47,47,47,"01/04/2020"
"CDAC",18.2,18.2,18.2,4.6,4.6,4.6,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,4.8,4.8,4.8,"01/05/2020"
"JAAMH",10.2,18.2,10.7,2.7,2.7,2.7,43.1,43.1,43.1,NA,NA,NA,NA,NA,NA,45.8,45.8,45.8,"01/05/2020"
"NEI",10.2,10.2,10.2,39.7,39.7,39.7,7.2,7.2,7.2,NA,NA,NA,NA,NA,NA,46.9,46.9,46.9,"01/05/2020"
"NHGRI",18.2,18.2,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/05/2020"
"NHLBI",10.2,18.2,15.6,46.7,46.7,46.7,0,0,0,NA,NA,NA,NA,NA,NA,46.7,46.7,46.7,"01/05/2020"
"NINDS",10.2,10.2,10.2,0.8,0.8,0.8,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA,2.6,2.6,2.6,"01/05/2020"
"All DACs",10.2,18.2,14,0.8,46.7,8.3,0,43.1,31.3,NA,NA,NA,NA,NA,NA,2.6,46.9,39.9,"01/05/2020"
"CDAC",4.1,4.2,4.2,3.8,4,3.9,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,4,4.1,4.1,"01/06/2020"
"JAAMH",3.8,36.1,9.3,2,2.2,2.2,43.1,43.1,43.1,7.2,7.2,7.2,7.2,7.2,7.2,9.3,45.3,32.9,"01/06/2020"
"NCI DAC",0,13.7,1.9,0,6,0.4,0,3.2,0.2,0,0,0,NA,NA,NA,0,9.2,0.6,"01/06/2020"
"NEI",4.1,13.6,11.5,18,18.4,18.3,12.9,12.9,12.9,NA,NA,NA,NA,NA,NA,30.9,31.3,31.2,"01/06/2020"
"NHGRI",0.2,4.7,3.5,10.3,10.5,10.4,0,5.8,2.3,7.7,7.7,7.7,NA,NA,NA,10.3,18.1,13.6,"01/06/2020"
"NHLBI",13.6,36.1,28.6,45.2,52.2,49.6,5,5,5,0,0,0,NA,NA,NA,45.2,57.2,50.8,"01/06/2020"
"NICHD",13.6,18.9,16.2,1.2,1.2,1.2,0,22,11,NA,NA,NA,NA,NA,NA,1.2,23.2,12.2,"01/06/2020"
"NIDDK",36.1,36.1,36.1,29.2,29.2,29.2,31,31,31,NA,NA,NA,NA,NA,NA,60.2,60.2,60.2,"01/06/2020"
"NIGMS",36.1,36.1,36.1,49.2,49.2,49.2,NA,NA,NA,NA,NA,NA,7.9,7.9,7.9,57.1,57.1,57.1,"01/06/2020"
"NINDS",0,13.6,6.4,0.1,0.5,0.3,1.8,20.9,5.4,NA,NA,NA,NA,NA,NA,2,21,5.7,"01/06/2020"
"All DACs",0,36.1,13,0,52.2,14.7,0,43.1,13.6,0,7.7,1.6,7.2,7.9,7.3,0,60.2,25.3,"01/06/2020"
"CDAC",0.5,3.8,2.1,3.1,3.5,3.3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,3.2,3.6,3.4,"01/07/2020"
