"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"NCI DAC",0,28.9,7.6,0,3.2,1.8,0,40.1,12.8,0,250.4,131.7,6.3,40.1,19.2,0,252.4,51.4,"01/02/2018"
"NEI",0,0.3,0.1,34.2,34.3,34.2,0,0,0,NA,NA,NA,0,0,0,34.2,34.4,34.2,"01/02/2018"
"NHGRI",0,27.9,15.1,0,3.4,0.6,0,26,2,0,0,0,NA,NA,NA,0,29.2,2.4,"01/02/2018"
"NHLBI",0.1,27.9,20,2.2,9,2.8,19,19,19,0,0,0,NA,NA,NA,9,21.2,20.2,"01/02/2018"
"NIAMS",27.9,27.9,27.9,1.1,1.1,1.1,14,14,14,NA,NA,NA,NA,NA,NA,15.1,15.1,15.1,"01/02/2018"
"NICHD",0,0,0,0.2,0.2,0.2,7,7,7,NA,NA,NA,NA,NA,NA,7.2,7.2,7.2,"01/02/2018"
"NIDCR",0,0,0,0.1,1,0.5,0.2,14,7.1,NA,NA,NA,NA,NA,NA,0.3,15,7.6,"01/02/2018"
"NIDDK",0.3,27.9,16.9,1.1,1.1,1.1,6,6,6,NA,NA,NA,0.2,0.2,0.2,1.3,7,4.7,"01/02/2018"
"NIGMS",0,0,0,34.2,34.2,34.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,35,35,35,"01/02/2018"
"NINDS",0.3,27.9,5.6,0.1,0.8,0.3,0,22.9,3.6,NA,NA,NA,0,0,0,0.1,23.2,3.4,"01/02/2018"
"All DACs",0,28.9,13.7,0,34.3,4,0,40.1,10.1,0,250.4,68.7,0,40.1,9.6,0,252.4,20.8,"01/02/2018"
"JAAMH",0,19.2,11.3,6.1,9,8.7,6.3,22.8,6.8,NA,NA,NA,0.1,0.1,0.1,8.8,28.9,15.3,"01/03/2018"
"NCI DAC",0,30,5.7,0,7.5,1.5,0,55,12.5,0,232.1,180.7,1.8,43,16.2,0,232.8,54.5,"01/03/2018"
"NEI",0.9,5,2.5,33,33.3,33.2,0,0,0,NA,NA,NA,NA,NA,NA,33,33.3,33.2,"01/03/2018"
"NHGRI",0,19.2,6.6,0,2.2,0.7,0,7.2,0.5,0,0,0,NA,NA,NA,0,7.9,1.1,"01/03/2018"
"NHLBI",0,12.5,1.8,5.9,8.3,6.7,12,17.9,14.9,0,0,0,NA,NA,NA,5.9,26,11,"01/03/2018"
"NIAMS",0,5,2.5,1.7,2,1.9,11.8,11.8,11.8,NA,NA,NA,NA,NA,NA,13.5,13.8,13.7,"01/03/2018"
"NIDCR",5,5,5,2,2,2,11.8,11.8,11.8,NA,NA,NA,NA,NA,NA,13.8,13.8,13.8,"01/03/2018"
"NIDDK",0,0,0,5.2,5.2,5.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5.4,5.4,5.4,"01/03/2018"
"NIGMS",5,5,5,33,33,33,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,33.8,33.8,33.8,"01/03/2018"
"NINDS",0,13,5.1,0,0.5,0.3,0,7.9,2.2,NA,NA,NA,NA,NA,NA,0.4,8.3,2.5,"01/03/2018"
"All DACs",0,30,5.5,0,33.3,4.9,0,55,6.6,0,232.1,101.6,0.1,43,15.6,0,232.8,27.1,"01/03/2018"
"CDAC",14.1,30.8,22.5,4,4.6,4.3,4,4,4,NA,NA,NA,NA,NA,NA,8,8.6,8.3,"01/04/2018"
"JAAMH",3.1,3.1,3.1,7.4,7.4,7.4,6.3,6.3,6.3,NA,NA,NA,NA,NA,NA,13.7,13.7,13.7,"01/04/2018"
"NCI DAC",0,30.8,8.1,0,6.4,3.8,0,12,5.4,0,0,0,14.8,33.8,21.1,0,39.8,14.3,"01/04/2018"
"NHGRI",0,17.5,5.1,0.2,1,0.5,0,4.8,0.7,NA,NA,NA,NA,NA,NA,0.2,5.9,1.1,"01/04/2018"
"NHLBI",0,1.1,0.8,5.1,7,6.4,0.2,12,8.1,NA,NA,NA,NA,NA,NA,5.3,19,14.5,"01/04/2018"
"NIDDK",0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/04/2018"
"NINDS",0.4,0.4,0.4,0,0,0,0,7,3.5,NA,NA,NA,NA,NA,NA,0,7,3.5,"01/04/2018"
"All DACs",0,30.8,6.8,0,7.4,3.3,0,12,4.2,0,0,0,14.8,33.8,21.1,0,39.8,10.5,"01/04/2018"
"CDAC",0,0,0,3,3,3,NA,NA,NA,0,0,0,NA,NA,NA,3,3,3,"01/05/2018"
"JAAMH",0,3.8,2.2,3.9,7.4,5.9,6.3,6.3,6.3,7.1,7.1,7.1,0.1,9.1,1.9,6.9,14.1,11.4,"01/05/2018"
"NCI DAC",0,38.8,6,0,7,3.7,0,21.8,11.3,228.8,228.8,228.8,34,34,34,0,233.8,24.5,"01/05/2018"
"NEI",3.8,3.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/05/2018"
"NHGRI",0,38.8,5.2,0,0.5,0.3,0,0,0,0,0,0,NA,NA,NA,0,0.5,0.3,"01/05/2018"
"NIAMS",0,0,0,0.7,0.7,0.7,11.8,11.8,11.8,NA,NA,NA,NA,NA,NA,12.4,12.4,12.4,"01/05/2018"
"NICHD",1.2,1.2,1.2,4.2,4.2,4.2,0,0,0,NA,NA,NA,NA,NA,NA,4.2,4.2,4.2,"01/05/2018"
"NINDS",0,1.2,0.4,6,6.5,6.3,1.1,1.1,1.1,NA,NA,NA,0.1,0.1,0.1,6.1,7.6,7.1,"01/05/2018"
"All DACs",0,38.8,3.7,0,7.4,3.5,0,21.8,7.7,0,228.8,33.7,0.1,34,6.2,0,233.8,13.4,"01/05/2018"
"NHGRI",0,0,0,2.2,2.2,2.2,0,0,0,NA,NA,NA,NA,NA,NA,2.2,2.2,2.2,"01/06/2018"
"All DACs",0,0,0,2.2,2.2,2.2,0,0,0,NA,NA,NA,NA,NA,NA,2.2,2.2,2.2,"01/06/2018"
"JAAMH",0.9,5,3,11.8,12,11.9,5,5,5,NA,NA,NA,0,0,0,12,16.8,14.4,"01/07/2018"
"NCI DAC",2.8,2.8,2.8,8.7,8.7,8.7,NA,NA,NA,0,0,0,NA,NA,NA,8.7,8.7,8.7,"01/07/2018"
"All DACs",0.9,5,2.9,8.7,12,10.8,5,5,5,0,0,0,0,0,0,8.7,16.8,12.5,"01/07/2018"
"JAAMH",0,6.9,3.7,8.4,11.2,9.9,5,6,5.6,0,0,0,NA,NA,NA,8.4,17.1,11.9,"01/08/2018"
"NCI DAC",0,10,2.7,0,4,1.7,0,33.8,7.7,NA,NA,NA,15.8,15.8,15.8,0.1,35.8,10.5,"01/08/2018"
"NEI",5,5,5,16.2,16.2,16.2,68.8,68.8,68.8,NA,NA,NA,NA,NA,NA,84.9,84.9,84.9,"01/08/2018"
"NHGRI",0,48.8,6,0.2,8.5,2.9,0,5,1.4,0,0,0,NA,NA,NA,0.2,9.1,4,"01/08/2018"
"NHLBI",0,18.1,1.3,2,3.3,2.4,12.7,12.7,12.7,0,0,0,NA,NA,NA,2,16,6.2,"01/08/2018"
"NINDS",0,0,0,2.7,2.7,2.7,14,14,14,NA,NA,NA,NA,NA,NA,16.8,16.8,16.8,"01/08/2018"
"All DACs",0,48.8,2.5,0,16.2,4.9,0,68.8,10.6,0,0,0,15.8,15.8,15.8,0.1,84.9,11.9,"01/08/2018"
"CDAC",0,0,0,2,2,2,1.1,1.1,1.1,NA,NA,NA,NA,NA,NA,3.1,3.1,3.1,"01/09/2018"
"JAAMH",0,7,3.5,9.6,10.1,9.9,6,6,6,NA,NA,NA,NA,NA,NA,15.7,16.2,15.9,"01/09/2018"
"NCI DAC",0,4.2,0.8,0,3.2,1.5,0,72,10.3,NA,NA,NA,61.9,61.9,61.9,0,73.2,13.8,"01/09/2018"
"NHGRI",0,24.5,4.4,0,0.2,0.1,0,0,0,0,0,0,NA,NA,NA,0,0.2,0.1,"01/09/2018"
"NHLBI",0,17.7,1.2,1.2,2.4,2.2,0,17.9,15.6,0,0,0,NA,NA,NA,1.2,20.2,16.1,"01/09/2018"
"NIGMS",0,0,0,27.1,27.1,27.1,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,27.9,27.9,27.9,"01/09/2018"
"All DACs",0,24.5,1.5,0,27.1,2.2,0,72,9.7,0,0,0,61.9,61.9,61.9,0,73.2,12.3,"01/09/2018"
"JAAMH",0,21.3,2.8,8.7,9,8.9,6,6,6,NA,NA,NA,NA,NA,NA,14.8,15,14.9,"01/10/2018"
"NCI DAC",0,21.3,5.4,0,2.5,1.6,0,31.8,8.8,0,226.9,113.5,26.8,26.8,26.8,0.1,229.4,19.9,"01/10/2018"
"NHGRI",0,9.1,4.7,0.3,6.3,4,0,8.1,2.7,0,8.1,1.4,NA,NA,NA,0.3,14.5,6.4,"01/10/2018"
"NHLBI",0,49.3,1.5,0,26.2,1.4,0,12.8,0.4,0,0,0,NA,NA,NA,0,26.2,1.7,"01/10/2018"
"NIDCR",0,0,0,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/10/2018"
"NIDDK",30.1,30.1,30.1,6,6,6,1,1,1,NA,NA,NA,NA,NA,NA,7,7,7,"01/10/2018"
"All DACs",0,49.3,2.3,0,26.2,1.8,0,31.8,2.3,0,226.9,3.2,26.8,26.8,26.8,0,229.4,4.5,"01/10/2018"
"JAAMH",0,20,8.4,4.8,7.7,6.7,6.1,6.1,6.1,0,0,0,NA,NA,NA,4.8,13.8,10.8,"01/11/2018"
"NCI DAC",0,43.1,10.6,0.1,11.9,3.8,0,26.8,9.5,0,0,0,10.9,10.9,10.9,4.7,32.6,13.8,"01/11/2018"
"NHGRI",0.4,43.1,23.1,0.8,4.9,3,5,5,5,0,0,0,NA,NA,NA,4.9,6.2,5.5,"01/11/2018"
"NHLBI",0,0.7,0.6,5,5.9,5.2,0,12,1.1,NA,NA,NA,NA,NA,NA,5,17.9,6.3,"01/11/2018"
"NIDDK",5,5,5,5.1,5.1,5.1,1,1,1,NA,NA,NA,NA,NA,NA,6.1,6.1,6.1,"01/11/2018"
"NINDS",0,0,0,0.7,0.7,0.7,0,0,0,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,"01/11/2018"
"All DACs",0,43.1,6.9,0.1,11.9,4.8,0,26.8,4.4,0,0,0,10.9,10.9,10.9,0.7,32.6,9.1,"01/11/2018"
"CDAC",10,10,10,0.2,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,"01/12/2018"
"ES DAC",10,10,10,0,0,0,NA,NA,NA,NA,NA,NA,4.9,4.9,4.9,4.9,4.9,4.9,"01/12/2018"
"JAAMH",0,10,7.6,3.9,7.3,5.9,6.1,6.1,6.1,0,0,0,0,58.7,11.8,3.9,62.9,14,"01/12/2018"
"NCI DAC",0,23.9,7.3,0.1,11.6,4.7,0,48,15,0,237.2,100.6,0.8,67.9,46.8,0.1,242.3,66.4,"01/12/2018"
"NEI",0.9,10,5.5,12.2,24.1,18.2,12,12,12,NA,NA,NA,0,0,0,24.2,24.2,24.2,"01/12/2018"
"NHGRI",0.3,20.7,8.3,0.1,4.1,1.6,0,4.9,0.6,0,0,0,NA,NA,NA,0.2,5,1.9,"01/12/2018"
"NHLBI",0.8,10,1.2,4.2,12,7.8,7,12,7.2,0,0,0,NA,NA,NA,11.2,17.3,11.7,"01/12/2018"
"NIAID",10,10,10,0.1,0.1,0.1,48,48,48,NA,NA,NA,NA,NA,NA,48.1,48.1,48.1,"01/12/2018"
"NIAMS",10,10,10,5.8,5.8,5.8,NA,NA,NA,6.3,6.3,6.3,6.2,6.2,6.2,12,12.1,12.1,"01/12/2018"
"NIDCD DAC",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/12/2018"
"NIGMS",10,10,10,24.1,24.2,24.2,1,1,1,NA,NA,NA,36,36,36,25.1,60.1,29.5,"01/12/2018"
"NINDS",10,10,10,10.9,10.9,10.9,0,0,0,NA,NA,NA,NA,NA,NA,10.9,10.9,10.9,"01/12/2018"
"All DACs",0,23.9,4.4,0,24.2,6.5,0,48,7.6,0,237.2,17.4,0,67.9,26,0.1,242.3,18.6,"01/12/2018"
"NCI DAC",0.5,0.5,0.5,4.5,4.5,4.5,NA,NA,NA,7.7,7.7,7.7,NA,NA,NA,12.2,12.2,12.2,"01/13/2018"
"NHGRI",0.5,4.5,2.1,2.9,5.5,4.8,0,0,0,0,0,0,NA,NA,NA,2.9,5.5,4.8,"01/13/2018"
"All DACs",0.5,4.5,1.6,2.9,5.5,4.7,0,0,0,0,7.7,3.1,NA,NA,NA,2.9,12.2,7.3,"01/13/2018"
"All DACs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/14/2018"
"JAAMH",0,2.7,1.5,1.6,10.3,5.5,6,15.7,11.8,NA,NA,NA,0.8,0.8,0.8,10.8,17.3,16.3,"01/15/2018"
"NCI DAC",0,24.9,3,0.9,8.2,2.6,0,13,7.7,NA,NA,NA,NA,NA,NA,1.5,13.9,10.3,"01/15/2018"
"NHGRI",0.2,6,2.7,1,1.5,1.3,0,0,0,NA,NA,NA,NA,NA,NA,1,1.5,1.3,"01/15/2018"
"NHLBI",0.2,0.2,0.2,2,2,2,6.9,6.9,6.9,NA,NA,NA,NA,NA,NA,8.9,8.9,8.9,"01/15/2018"
"NICHD",2.7,2.7,2.7,15.5,15.5,15.5,0,0,0,NA,NA,NA,NA,NA,NA,15.5,15.5,15.5,"01/15/2018"
"NINDS",0,2.7,0.5,8,8.4,8,0,30.2,5.1,NA,NA,NA,0,0,0,8,38.3,12.4,"01/15/2018"
"All DACs",0,24.9,2.1,0.9,15.5,3.9,0,30.2,5.4,NA,NA,NA,0,0.8,0.3,1,38.3,9.1,"01/15/2018"
"CDAC",8.3,8.3,8.3,10,10,10,0,0,0,NA,NA,NA,NA,NA,NA,10,10,10,"01/16/2018"
"JAAMH",0,28,5.9,0,9.2,2.4,6,6,6,0,0,0,NA,NA,NA,0,15.1,3.1,"01/16/2018"
"NCI DAC",0,12.2,4.8,0.8,7.3,1.5,0,54,9.9,0,231.9,84.4,0.2,26.8,22,0.8,234.2,37,"01/16/2018"
"NHGRI",1,15.7,6.8,0.2,7.2,1.1,0,0.9,0.1,0,0,0,NA,NA,NA,0.2,8.1,1.2,"01/16/2018"
"NHLBI",0,6.5,3.2,0.1,1.2,0.9,0,12,2.7,0,0,0,NA,NA,NA,0.1,13.1,2.9,"01/16/2018"
"All DACs",0,28,5,0,10,1.6,0,54,3.8,0,231.9,18.3,0.2,26.8,22,0,234.2,11.5,"01/16/2018"
"JAAMH",0,15.1,1.3,0.5,8.6,5.3,6,42,24,0,0.9,0.5,0.8,0.8,0.8,0.5,50.6,8.1,"01/17/2018"
"NCI DAC",0,14,11.5,0,8.3,1.8,0,157.9,34.3,224.8,236.2,235.1,12.9,157.9,133.3,0,237.2,103,"01/17/2018"
"NHGRI",0.1,6,2.4,0.2,6,3.7,0,0.9,0.5,0,0,0,NA,NA,NA,0.2,6.9,4,"01/17/2018"
"NHLBI",0.1,11.8,10.5,0,14.9,11.6,12.8,12.8,12.8,0,110.9,2.6,49.9,49.9,49.9,12.8,111.8,21.4,"01/17/2018"
"NIDCR",14,14,14,0.9,0.9,0.9,17.5,17.5,17.5,NA,NA,NA,NA,NA,NA,18.4,18.4,18.4,"01/17/2018"
"NINDS",9.9,9.9,9.9,5.8,5.8,5.8,7,7,7,NA,NA,NA,NA,NA,NA,12.8,12.8,12.8,"01/17/2018"
"All DACs",0,15.1,8.8,0,14.9,6.8,0,157.9,24.6,0,236.2,40.3,0.8,157.9,75.8,0,237.2,42.4,"01/17/2018"
"CDAC",1.8,1.8,1.8,8.1,8.1,8.1,0,0,0,NA,NA,NA,NA,NA,NA,8.1,8.1,8.1,"01/18/2018"
"JAAMH",0,28.9,8.5,0,7.5,5.7,6,12.9,10.5,0,0,0,0.8,0.8,0.8,0,20.3,13.2,"01/18/2018"
"NCI DAC",0,56.8,2,0,7.3,5.5,0,31.8,10.2,0,229.2,175.4,4,31.8,7.6,0,236.5,94.2,"01/18/2018"
"NHGRI",0,56.8,3.7,0,5.5,4,0,6,0.3,0,6.9,1.1,NA,NA,NA,0.1,6.9,4.5,"01/18/2018"
"NHLBI",0,35,5.4,5.8,7,6.6,5,39.1,24.3,0,0,0,NA,NA,NA,5.8,46.1,18.7,"01/18/2018"
"NINDS",0,0.5,0.2,4.9,5,4.9,0,0,0,NA,NA,NA,NA,NA,NA,4.9,5,4.9,"01/18/2018"
"All DACs",0,56.8,4.6,0,8.1,5.4,0,39.1,7.5,0,229.2,119.4,0.8,31.8,7.2,0,236.5,50.8,"01/18/2018"
"JAAMH",0,13.8,1.2,5.8,6.1,5.9,12.8,12.8,12.8,NA,NA,NA,NA,NA,NA,18.7,19,18.7,"01/19/2018"
"NCI DAC",0,20.9,2.7,2.7,6.2,5.2,0,19.1,8.5,0,214.1,110.6,19,31.8,25.4,4.4,219.9,42.1,"01/19/2018"
"NHGRI",0,114.1,6,4.1,5.6,5.1,0,14,4.7,0,0,0,NA,NA,NA,4.2,19.6,7.6,"01/19/2018"
"NHLBI",0.1,9.8,8.5,5.1,9.8,7.9,0.8,26.2,2.9,0,0,0,NA,NA,NA,5.3,32.6,8.9,"01/19/2018"
"NIDDK",114.1,114.1,114.1,3.9,3.9,3.9,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,4,4,4,"01/19/2018"
"All DACs",0,114.1,7.3,2.7,9.8,6.7,0,26.2,6.3,0,214.1,7.3,19,31.8,25.4,4,219.9,14.1,"01/19/2018"
"NCI DAC",0.7,7,3.9,1.8,5,3.1,0,7,4.3,0,0,0,NA,NA,NA,2.8,11.3,7.4,"01/20/2018"
"NHGRI",0,2.9,2,3,3.2,3,0,8,2.7,0,0,0,NA,NA,NA,3,11.1,5.7,"01/20/2018"
"All DACs",0,7,3.3,1.8,5,3.1,0,8,3.8,0,0,0,NA,NA,NA,2.8,11.3,6.8,"01/20/2018"
"JAAMH",0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/21/2018"
"NCI DAC",0,2.6,1.7,1.8,3.8,2.5,0,1,0.5,NA,NA,NA,5.9,5.9,5.9,1.8,9.7,4.8,"01/21/2018"
"NHLBI",0,1,0.4,4,4.1,4.1,NA,NA,NA,0,0,0,NA,NA,NA,4,4.1,4.1,"01/21/2018"
"NIAMS",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/21/2018"
"All DACs",0,2.6,0.5,1.8,4.1,3.8,0,1,0.5,0,0,0,5.9,5.9,5.9,1.8,9.7,4.2,"01/21/2018"
"JAAMH",0,19.8,5.3,1.1,16.1,10.4,7.1,12.9,9.3,NA,NA,NA,NA,NA,NA,14,23.2,19.7,"01/22/2018"
"NCI DAC",0,19.1,3.4,0.8,3.2,2.1,0,7.9,2.8,0,1.8,0.4,5.9,7.9,7.2,0.9,11,6.8,"01/22/2018"
"NHGRI",0,4,1.8,1,1.6,1.3,0,0,0,0,0,0,NA,NA,NA,1,1.6,1.3,"01/22/2018"
"NHLBI",0,10.8,7.5,2.2,6.8,3.9,0.1,28.4,1.1,0,0,0,NA,NA,NA,3,31.3,5,"01/22/2018"
"NIAMS",2.6,2.6,2.6,9.4,9.4,9.4,5.1,5.1,5.1,NA,NA,NA,NA,NA,NA,14.5,14.5,14.5,"01/22/2018"
"NIDDK",2.6,2.6,2.6,1.3,1.3,1.3,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,1.4,1.4,1.4,"01/22/2018"
"NINDS",5.8,5.8,5.8,1.1,1.1,1.1,13.1,13.1,13.1,NA,NA,NA,NA,NA,NA,14.2,14.2,14.2,"01/22/2018"
"All DACs",0,19.8,6.3,0.8,16.1,4.3,0,28.4,2.5,0,1.8,0.2,5.9,7.9,7.2,0.9,31.3,7,"01/22/2018"
"CDAC",5.2,5.2,5.2,2.9,2.9,2.9,0,0,0,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,"01/23/2018"
"JAAMH",6,35.2,12.2,2.2,14.9,10.6,7.1,7.1,7.1,0,0,0,1,1,1,2.2,22,14.3,"01/23/2018"
"NCI DAC",0,21,6.2,0,5.9,1.7,0,33.9,7,0,0,0,5.9,5.9,5.9,0.9,36.2,8.2,"01/23/2018"
"NEI",5.2,5.2,5.2,13,13,13,0,0,0,NA,NA,NA,NA,NA,NA,13,13,13,"01/23/2018"
"NHGRI",0,21,11.1,0.9,5.8,4.5,0,2.3,1.7,0,0,0,NA,NA,NA,0.9,8.1,6.1,"01/23/2018"
"NHLBI",0.9,11,4.7,1.6,5.8,2.7,0,29.4,21.5,0,0,0,NA,NA,NA,1.9,31.5,20.1,"01/23/2018"
"NIDCR",6,6,6,8.2,8.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/23/2018"
"NINDS",5.2,5.2,5.2,1.8,1.8,1.8,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,"01/23/2018"
"All DACs",0,35.2,7.3,0,14.9,3.7,0,33.9,11.5,0,0,0,1,5.9,4.3,0.9,36.2,13.4,"01/23/2018"
"ES DAC",0,5.8,2.9,0,9.1,4.6,0,0,0,35.1,35.1,35.1,NA,NA,NA,9.1,35.1,22.1,"01/24/2018"
"JAAMH",0,8.2,5.6,1,14.1,9.5,7.1,38,19.4,0,0,0,NA,NA,NA,1,50.8,22.7,"01/24/2018"
"NCI DAC",0,5.8,0.9,0,5.6,4,0,19.7,2.8,0,10.8,2.7,NA,NA,NA,0,21,6.9,"01/24/2018"
"NHGRI",0,19.2,0.7,0.1,5.2,2.2,0,12.9,6.1,0,20,0.6,NA,NA,NA,0.1,21.2,3.7,"01/24/2018"
"NHLBI",0,1.9,0.4,0.9,1.2,1.1,29.3,32.2,31.4,NA,NA,NA,NA,NA,NA,30.4,33.3,32.5,"01/24/2018"
"NIAID",0,0,0,15.1,15.1,15.1,21.2,21.2,21.2,NA,NA,NA,NA,NA,NA,36.3,36.3,36.3,"01/24/2018"
"NIAMS",0,0,0,7.3,7.3,7.3,11.8,11.8,11.8,NA,NA,NA,NA,NA,NA,19,19,19,"01/24/2018"
"NICHD",8.1,8.1,8.1,5.9,5.9,5.9,0,0,0,NA,NA,NA,NA,NA,NA,5.9,5.9,5.9,"01/24/2018"
"NIDCR",0,0,0,7.3,7.3,7.3,11.8,11.8,11.8,NA,NA,NA,NA,NA,NA,19,19,19,"01/24/2018"
"NIDDK",19,19,19,6,6,6,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,13.9,13.9,13.9,"01/24/2018"
"NIGMS",0,5.8,2.9,12.3,12.3,12.3,1,1,1,NA,NA,NA,NA,NA,NA,13.2,13.3,13.3,"01/24/2018"
"NINDS",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,1.1,1.1,1.1,"01/24/2018"
"All DACs",0,19.2,1.7,0,15.1,4.4,0,38,8.6,0,35.1,1.5,0.1,0.1,0.1,0,50.8,11,"01/24/2018"
"CDAC",2.5,2.5,2.5,1.1,1.1,1.1,0,0,0,NA,NA,NA,NA,NA,NA,1.1,1.1,1.1,"01/25/2018"
"JAAMH",0,35.8,2.3,0.4,13.4,10.3,7.1,23,11.2,0,2.3,0.6,1,1,1,0.4,26.9,16.9,"01/25/2018"
"NCI DAC",0,8.1,1.8,0.1,5,2.8,0,27.8,4.3,0,225.1,42.5,41.8,42.7,42.2,0.1,229.3,14,"01/25/2018"
"NEI",2.5,2.9,2.7,11.2,11.2,11.2,0,0,0,NA,NA,NA,NA,NA,NA,11.2,11.2,11.2,"01/25/2018"
"NHGRI",0,2.5,1.3,0,4,0.8,0,2.3,0.4,NA,NA,NA,NA,NA,NA,0,6.3,1.2,"01/25/2018"
"NHLBI",0,35.8,3.9,0,3.9,0.6,0,56.9,30.7,0,56.1,3,56.1,56.1,56.1,0.2,57.2,11.6,"01/25/2018"
"NIAMS",2.5,2.5,2.5,6.2,6.2,6.2,5,5,5,NA,NA,NA,NA,NA,NA,11.2,11.2,11.2,"01/25/2018"
"NINDS",0,2.5,1.4,0,5.9,0.8,0,11.1,4.4,NA,NA,NA,5,5,5,0.1,11.2,5.3,"01/25/2018"
"All DACs",0,35.8,2.2,0,13.4,4.9,0,56.9,6.7,0,225.1,9.6,1,56.1,6.2,0,229.3,11.4,"01/25/2018"
"ES DAC",10,10,10,7,7,7,NA,NA,NA,NA,NA,NA,0,0,0,7,7,7,"01/26/2018"
