"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"CDAC",0.3,0.3,0.3,6.9,6.9,6.9,4,4,4,NA,NA,NA,NA,NA,NA,10.9,10.9,10.9,"01/01/2018"
"JAAMH",0.3,0.3,0.3,0.6,10.6,8.6,6.3,30,11,NA,NA,NA,NA,NA,NA,16.9,30.6,19.6,"01/01/2018"
"NCI DAC",0,16.9,1,0.6,2.6,1.9,0,7,6.4,0,0,0,0.2,5.3,0.4,0.6,7.8,4.1,"01/01/2018"
"NHGRI",0,17.4,1.2,0.6,1.1,0.7,0,0,0,0,0,0,NA,NA,NA,0.6,1.1,0.7,"01/01/2018"
"NHLBI",30.5,30.5,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/01/2018"
"NIGMS",0.3,0.3,0.3,34.9,34.9,34.9,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,35.6,35.6,35.6,"01/01/2018"
"NINDS",0.3,0.3,0.3,0.8,0.8,0.8,0,22.9,5.7,NA,NA,NA,NA,NA,NA,0.8,23.7,6.5,"01/01/2018"
"All DACs",0,30.5,7.2,0.6,34.9,3.4,0,30,5.5,0,0,0,0.2,5.3,0.4,0.6,35.6,7.1,"01/01/2018"
"CDAC",11.1,27.9,19.5,6.1,6.3,6.2,4,7.9,5.9,NA,NA,NA,NA,NA,NA,10.3,14,12.2,"01/02/2018"
"JAAMH",0,27.9,8.5,7.1,10,9.8,6.3,22.8,8.3,NA,NA,NA,NA,NA,NA,16.2,29.9,18,"01/02/2018"
