"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"All DACs",0,25.7,12.2,0.6,41.9,2.3,0,55.9,3.7,29,29,29,0,1,0.6,0.7,57,5.5,"01/02/2017"
"ES DAC",11,11,11,9.8,9.8,9.8,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,17.7,17.7,17.7,"01/03/2017"
"JAAMH",0,15,4.7,1.8,2.8,2,7.2,53,9.2,NA,NA,NA,NA,NA,NA,9,55.8,11.1,"01/03/2017"
"NCI DAC",0,15,2.5,0,22.3,1.3,0,3.2,0.3,0,645.3,166.4,0,23.9,4.9,0,645.8,10.4,"01/03/2017"
"NEI",0.1,0.1,0.1,30.2,30.2,30.2,10.6,10.6,10.6,NA,NA,NA,NA,NA,NA,40.8,40.8,40.8,"01/03/2017"
"NHGRI",0,42.2,4.2,0,6,3.1,0,5,0.5,-3,3.3,0.1,NA,NA,NA,0,9.3,3.6,"01/03/2017"
"NHLBI",0,12.6,3.8,0,2.5,0.5,41,41,41,0,24,12,0,0,0,2.6,41.1,31,"01/03/2017"
"NIAID",10.9,10.9,10.9,31.5,31.5,31.5,0,0,0,NA,NA,NA,NA,NA,NA,31.5,31.5,31.5,"01/03/2017"
"NIDCR",0.6,0.7,0.6,0.1,0.3,0.2,1,7,4,NA,NA,NA,NA,NA,NA,1.4,7,4.2,"01/03/2017"
"NIGMS",0.6,2.4,1.5,8.2,8.3,8.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,8.9,9.1,9,"01/03/2017"
"NINDS",0.6,10,5,0.1,0.8,0.7,0,2.2,0.4,NA,NA,NA,NA,NA,NA,0.1,3,1.1,"01/03/2017"
"All DACs",0,42.2,3.4,0,31.5,3.1,0,53,3.8,-3,645.3,71.4,0,23.9,4.1,0,645.8,10.6,"01/03/2017"
"CDAC",2.9,14.8,8.9,13.8,13.9,13.9,0,0,0,NA,NA,NA,0.1,0.1,0.1,13.8,14,13.9,"01/04/2017"
"JAAMH",0,33.5,16,0.1,1.3,0.9,0,7.2,6.3,NA,NA,NA,1.1,1.1,1.1,0.1,8.5,6.9,"01/04/2017"
"NCI DAC",0,21,7.9,0,5,0.8,0,22.9,2.3,NA,NA,NA,NA,NA,NA,0,23.3,3.1,"01/04/2017"
"NHGRI",0,16.8,5.2,0.1,5,1.9,0,4.2,0.9,NA,NA,NA,NA,NA,NA,0,9.1,2.7,"01/04/2017"
"NHLBI",0,16.8,3.6,2,5.2,4.6,0.8,22.3,11,NA,NA,NA,0,15,6.4,2,27.5,13.7,"01/04/2017"
"NIAMS",13.7,13.7,13.7,8.9,8.9,8.9,5.2,5.2,5.2,NA,NA,NA,NA,NA,NA,14,14,14,"01/04/2017"
"NIDDK",0,13.7,4.6,0.7,0.8,0.7,0,0,0,NA,NA,NA,NA,NA,NA,0.7,0.8,0.7,"01/04/2017"
"NIGMS",13.7,14.8,14.1,7,7.2,7.1,0.8,0.8,0.8,NA,NA,NA,0.8,0.8,0.8,7.8,8,7.9,"01/04/2017"
"NINDS",0.4,16.8,15.1,0,1.2,1.1,0,1,0.3,NA,NA,NA,NA,NA,NA,0,2.2,1.4,"01/04/2017"
"All DACs",0,33.5,8.9,0,13.9,2.3,0,22.9,3.3,NA,NA,NA,0,15,4.7,0,27.5,5.7,"01/04/2017"
"JAAMH",0,6.6,1.3,0,7.1,1,6.8,35.8,9,0,63.7,10.6,0.8,3,2.5,0,63.8,7.4,"01/05/2017"
"NCI DAC",0,14.7,3,0,4.3,1.9,0,53.8,16.3,0,0,0,0.8,0.8,0.8,0,54,13,"01/05/2017"
"NEI",1.8,1.8,1.8,28.4,28.4,28.4,10.6,10.6,10.6,NA,NA,NA,NA,NA,NA,39,39,39,"01/05/2017"
"NHGRI",0,22,2.8,0,0.4,0.1,0,1,0.4,0,0,0,NA,NA,NA,0,1.1,0.5,"01/05/2017"
"NICHD",1.8,1.8,1.8,0.1,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,"01/05/2017"
"NIDCR",1.8,1.8,1.8,11.7,11.7,11.7,1.6,1.6,1.6,NA,NA,NA,NA,NA,NA,13.3,13.3,13.3,"01/05/2017"
"NIGMS",1.8,1.8,1.8,6.3,6.3,6.3,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,7.1,7.1,7.1,"01/05/2017"
"NINDS",1.7,1.7,1.7,0.1,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,"01/05/2017"
"All DACs",0,22,2,0,28.4,2.6,0,53.8,7.6,0,63.7,4.6,0.8,3,2.2,0,63.8,8.4,"01/05/2017"
"JAAMH",0,30.2,10.3,3,6.3,5.1,20.7,24,23.2,NA,NA,NA,0.8,0.8,0.8,6.9,27,15.9,"01/06/2017"
"NCI DAC",0,30.2,23,0,4,0.6,0,71.1,2.7,0,0,0,NA,NA,NA,0,75,3.2,"01/06/2017"
"NHGRI",0.1,30.2,19.7,0,2.8,2,0,2.3,1.5,2.3,2.3,2.3,NA,NA,NA,0,5.2,3.7,"01/06/2017"
"NHLBI",2,2,2,3.2,3.2,3.2,NA,NA,NA,NA,NA,NA,0,0,0,3.2,3.2,3.2,"01/06/2017"
"NIAMS",0,0,0,7,7,7,14.1,14.1,14.1,NA,NA,NA,NA,NA,NA,21.1,21.1,21.1,"01/06/2017"
"NICHD",0.2,0.2,0.2,3.9,3.9,3.9,15.5,15.5,15.5,NA,NA,NA,NA,NA,NA,19.3,19.3,19.3,"01/06/2017"
"NIDDK",0.2,0.2,0.2,2.9,2.9,2.9,0,0,0,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,"01/06/2017"
"NIGMS",30.2,30.2,30.2,5.2,5.2,5.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,6,6,6,"01/06/2017"
"NINDS",30.2,30.2,30.2,0.1,0.1,0.1,37.8,37.8,37.8,NA,NA,NA,NA,NA,NA,37.9,37.9,37.9,"01/06/2017"
"All DACs",0,30.2,19.1,0,7,1.8,0,71.1,4.4,0,2.3,1.7,0,0.8,0.5,0,75,5.6,"01/06/2017"
"NCI DAC",0.5,0.5,0.5,3.3,3.3,3.3,17.2,17.2,17.2,NA,NA,NA,17.2,17.2,17.2,20.5,20.5,20.5,"01/07/2017"
"NHGRI",0.5,0.5,0.5,2.2,2.2,2.2,2.3,2.3,2.3,NA,NA,NA,NA,NA,NA,4.5,4.5,4.5,"01/07/2017"
"All DACs",0.5,0.5,0.5,2.2,3.3,2.6,2.3,17.2,6.6,NA,NA,NA,17.2,17.2,17.2,4.5,20.5,10.5,"01/07/2017"
"NCI DAC",23,23,23,1,1,1,3.2,3.2,3.2,NA,NA,NA,NA,NA,NA,4.2,4.2,4.2,"01/08/2017"
"NHGRI",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,1.3,"01/08/2017"
"All DACs",0,23,11.5,1,1,1,3.2,3.2,3.2,NA,NA,NA,NA,NA,NA,1.3,4.2,2.7,"01/08/2017"
"JAAMH",0,7,3.6,0,7.9,2.7,6.8,41.9,13.8,0,0,0,0.8,12.8,3.8,0,49.8,10.4,"01/09/2017"
"NCI DAC",0,32.2,6.3,0,4.2,1.7,0,21.2,4.7,-4.1,3.2,-0.3,52,52,52,0,52.6,7.1,"01/09/2017"
"NHGRI",0,39.2,11.3,0,4.2,2.5,0,5,3.1,-4.1,-4.1,-4.1,NA,NA,NA,0,9.3,5.3,"01/09/2017"
"NHLBI",0,5.9,3.2,0,0.5,0.1,0,22.2,5.6,NA,NA,NA,0,0,0,0.1,22.3,5.2,"01/09/2017"
"NIDDK",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,"01/09/2017"
"NIGMS",32.2,32.2,32.2,2.1,2.1,2.1,NA,NA,NA,NA,NA,NA,0.8,0.8,0.8,2.9,2.9,2.9,"01/09/2017"
"NINDS",3.2,32.2,17.7,3,3,3,0.1,0.1,0.1,0.8,0.8,0.8,NA,NA,NA,3,3.9,3.5,"01/09/2017"
"All DACs",0,39.2,6.9,0,7.9,1.8,0,41.9,5.1,-4.1,3.2,-0.4,0,52,8.5,0,52.6,6.7,"01/09/2017"
"ES DAC",25,25,25,2.4,2.4,2.4,0,0,0,NA,NA,NA,NA,NA,NA,2.4,2.4,2.4,"01/10/2017"
"JAAMH",0,4.3,0.4,2.1,2.5,2.2,6.8,6.8,6.8,NA,NA,NA,0.8,0.8,0.8,3,9.3,7.8,"01/10/2017"
"NCI DAC",0,1,0.5,0,3.5,1.7,0,19.8,7.7,NA,NA,NA,NA,NA,NA,0,22.9,8.3,"01/10/2017"
"NHGRI",0,25,1.2,0.1,0.3,0.2,0,0,0,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,"01/10/2017"
"NHLBI",0.8,4,1.4,0,1,0.2,20.4,36.2,33.1,NA,NA,NA,NA,NA,NA,21.3,36.3,33.3,"01/10/2017"
"NIAMS",4.3,4.3,4.3,3.3,3.3,3.3,5.1,5.1,5.1,NA,NA,NA,NA,NA,NA,8.4,8.4,8.4,"01/10/2017"
"NINDS",18.1,18.1,18.1,2.2,2.2,2.2,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,17,17,17,"01/10/2017"
"All DACs",0,25,1.5,0,3.5,1.2,0,36.2,12.1,NA,NA,NA,0.8,0.8,0.8,0,36.3,12.3,"01/10/2017"
"CDAC",0.9,0.9,0.9,6.6,6.6,6.6,0,0,0,NA,NA,NA,NA,NA,NA,6.6,6.6,6.6,"01/11/2017"
"ES DAC",7.2,7.2,7.2,1.2,1.2,1.2,7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,9.1,9.1,9.1,"01/11/2017"
"JAAMH",0,8,1.1,0.9,6.3,2.8,6.8,15.9,10.8,0.8,0.8,0.8,0.8,0.8,0.8,1.7,22.2,10.9,"01/11/2017"
"NCI DAC",0.5,9.2,3.3,0.1,36.9,4.7,0,19.8,6.5,-36.9,-2,-19.4,NA,NA,NA,0.1,42,11.2,"01/11/2017"
"NEI",5.1,5.1,5.1,32.8,32.8,32.8,0,0,0,NA,NA,NA,NA,NA,NA,32.8,32.8,32.8,"01/11/2017"
"NHGRI",0.1,5.1,1.5,0.6,2.1,1.7,0,5,1.3,NA,NA,NA,NA,NA,NA,0.3,7.1,2.7,"01/11/2017"
"NHLBI",0.9,27.1,4.7,0,5,2.8,15,22.1,17.6,NA,NA,NA,28,28,28,15.1,32.8,21.7,"01/11/2017"
"NIAMS",0.9,0.9,0.9,1.8,1.8,1.8,5,5,5,NA,NA,NA,NA,NA,NA,6.9,6.9,6.9,"01/11/2017"
"NICHD",0.1,0.1,0.1,0.2,0.2,0.2,13,13,13,NA,NA,NA,NA,NA,NA,13.2,13.2,13.2,"01/11/2017"
"NIDDK",6.8,6.8,6.8,0.9,0.9,0.9,5,5,5,NA,NA,NA,NA,NA,NA,5.9,5.9,5.9,"01/11/2017"
"NIGMS",2,2,2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.8,0.8,0.8,1,1,1,"01/11/2017"
"NINDS",0.9,7.2,3,0.8,1,0.9,0,0,0,NA,NA,NA,18,18,18,0.9,18.9,6.9,"01/11/2017"
"All DACs",0,27.1,3.3,0,36.9,3,0,22.1,11.5,-36.9,0.8,-7.3,0.8,28,17.2,0.1,42,14.5,"01/11/2017"
"JAAMH",0,24.1,5.9,0,6.8,2.5,6.8,13.9,11.1,10,10,10,NA,NA,NA,6.8,20.7,13.3,"01/12/2017"
"NCI DAC",0,59,6.7,0,12,1.5,0,110,57.3,0,0,0,NA,NA,NA,0,110,58.8,"01/12/2017"
"NHGRI",1,24.3,8.2,0.7,12,8.5,0,61.1,16.9,0,0,0,NA,NA,NA,0.9,61.8,23.8,"01/12/2017"
"NHLBI",1,8.5,3.5,4.8,5,4.9,21.1,21.1,21.1,20.2,20.2,20.2,NA,NA,NA,25,26,25.5,"01/12/2017"
"NIAMS",1,24.1,16.4,0.8,1,0.8,12.8,12.8,12.8,NA,NA,NA,NA,NA,NA,13.6,13.8,13.7,"01/12/2017"
"NIDDK",24.1,24.1,24.1,4.5,4.5,4.5,0,0,0,NA,NA,NA,NA,NA,NA,4.6,4.6,4.6,"01/12/2017"
"NIGMS",1,1,1,32.8,32.8,32.8,0,0,0,NA,NA,NA,NA,NA,NA,32.8,32.8,32.8,"01/12/2017"
"NINDS",24.1,24.1,24.1,4.6,4.6,4.6,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,4.8,4.8,4.8,"01/12/2017"
"All DACs",0,59,8.2,0,32.8,4.1,0,110,35.7,0,20.2,4.7,NA,NA,NA,0,110,38.3,"01/12/2017"
"CDAC",1,1,1,4.8,4.8,4.8,0,0,0,NA,NA,NA,NA,NA,NA,4.8,4.8,4.8,"01/13/2017"
"JAAMH",0,2.9,1.2,3.9,6.1,5.7,5.9,52,15.3,5.9,5.9,5.9,6,6,6,4,55.9,18.5,"01/13/2017"
"NCI DAC",0,10.1,3.1,0,4,2.4,0,30.9,6.2,NA,NA,NA,NA,NA,NA,0,31,7.8,"01/13/2017"
"NHGRI",1,30,7.1,0,4,1.4,0,5,0.6,NA,NA,NA,NA,NA,NA,0,5.2,2.1,"01/13/2017"
"NHLBI",0.7,2.1,1.1,3.9,4.1,3.9,15,21.4,20.4,21.4,21.4,21.4,NA,NA,NA,19,25.5,24.4,"01/13/2017"
"NIAID",1,1,1,21,21,21,0,0,0,NA,NA,NA,NA,NA,NA,21,21,21,"01/13/2017"
"NIDCR",30,30,30,3.6,3.6,3.6,9.4,9.4,9.4,NA,NA,NA,NA,NA,NA,13,13,13,"01/13/2017"
"NIDDK",1,1,1,3.8,3.8,3.8,0,0,0,NA,NA,NA,0,0,0,3.8,3.8,3.8,"01/13/2017"
"NIGMS",1,1,1,31.9,31.9,31.9,0,0,0,NA,NA,NA,NA,NA,NA,31.9,31.9,31.9,"01/13/2017"
"All DACs",0,30,5.6,0,31.9,4,0,52,8.8,5.9,21.4,13.6,0,6,3,0,55.9,12.4,"01/13/2017"
"All DACs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/14/2017"
"JAAMH",3,17.5,12.6,1.5,4,3.2,13.9,52,25.6,NA,NA,NA,5.9,5.9,5.9,9.5,53.5,25.1,"01/15/2017"
"NCI DAC",0,56.1,4.5,1.5,7.4,1.7,0,42.1,9.9,630.9,631,630.9,7,42.1,30.4,1.8,632.5,66.5,"01/15/2017"
"NHGRI",0,17.5,5.2,1.8,1.8,1.8,0,0,0,8,8,8,NA,NA,NA,1.7,9.8,4.6,"01/15/2017"
"NHLBI",3,17.5,6.9,1.6,2.1,1.8,21.2,22.2,21.5,21.2,218,152.4,0,1.1,0.8,22.9,219.5,53.6,"01/15/2017"
"NIAID",17.5,17.5,17.5,18.7,18.7,18.7,0,0,0,NA,NA,NA,NA,NA,NA,18.7,18.7,18.7,"01/15/2017"
"NICHD",3,3,3,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA,0,0,0,1.8,1.8,1.8,"01/15/2017"
"NINDS",3,3,3,1.6,1.6,1.6,10.2,10.2,10.2,NA,NA,NA,NA,NA,NA,11.8,11.8,11.8,"01/15/2017"
"All DACs",0,56.1,6.6,1.5,18.7,2.2,0,52,13.8,8,631,199.8,0,42.1,10.1,1.7,632.5,41.3,"01/15/2017"
"JAAMH",4.7,6.9,5.8,3.2,3.2,3.2,13.9,13.9,13.9,NA,NA,NA,NA,NA,NA,17.1,17.1,17.1,"01/16/2017"
"NCI DAC",0.4,6.9,5.2,1.2,7,2.7,0,10,2,NA,NA,NA,0,0,0,1.2,17,3.9,"01/16/2017"
"NHGRI",4.3,160.1,22.3,1,6.8,5.1,0,2.3,1,NA,NA,NA,NA,NA,NA,1,9.1,5.1,"01/16/2017"
"NHLBI",5.7,5.7,5.7,1.1,1.1,1.1,19.8,19.8,19.8,NA,NA,NA,NA,NA,NA,20.9,20.9,20.9,"01/16/2017"
"NICHD",0,0,0,1.4,1.4,1.4,8.2,8.2,8.2,NA,NA,NA,NA,NA,NA,9.6,9.6,9.6,"01/16/2017"
"All DACs",0,160.1,9.4,1,7,2.3,0,19.8,12.6,NA,NA,NA,0,0,0,1,20.9,13.5,"01/16/2017"
"CDAC",7.9,7.9,7.9,0.9,0.9,0.9,0,0,0,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,"01/17/2017"
"ES DAC",0,0,0,3.3,3.3,3.3,0,0,0,NA,NA,NA,NA,NA,NA,3.3,3.3,3.3,"01/17/2017"
"JAAMH",0,0.8,0.7,2.1,2.2,2.1,13.9,13.9,13.9,NA,NA,NA,NA,NA,NA,16,16,16,"01/17/2017"
"NCI DAC",0,43.1,6,0.2,6.4,2.3,0,88.8,37.6,NA,NA,NA,NA,NA,NA,0.3,90.9,40,"01/17/2017"
"NHGRI",0,43.1,15.6,0.9,82.7,17.5,0,3.1,0.8,-80.8,0,-40.4,NA,NA,NA,0.9,85.8,11.7,"01/17/2017"
"NHLBI",0,7,0.3,0.2,1.8,0.9,3.9,13.4,6.2,5.8,5.8,5.8,NA,NA,NA,5.7,15,6.7,"01/17/2017"
"NIDDK",0,0,0,0.8,0.8,0.8,0,0.9,0.3,NA,NA,NA,NA,NA,NA,0.9,1.8,1.2,"01/17/2017"
"All DACs",0,43.1,2.3,0.2,82.7,2.1,0,88.8,12.4,-80.8,5.8,-17.3,NA,NA,NA,0.3,90.9,13.7,"01/17/2017"
"JAAMH",0,5.1,3,0.1,1.4,0.9,0,13.9,12.8,NA,NA,NA,6,6,6,0.1,15.2,13.5,"01/18/2017"
"NCI DAC",0.1,6.6,2.3,0.1,4.9,1.2,0,11,1.9,0,0,0,0.1,0.1,0.1,0.1,14.9,3,"01/18/2017"
"NHGRI",0,14.2,3.7,0,4.7,2.2,0,2.3,0.2,2.3,2.3,2.3,NA,NA,NA,0.1,7,2.6,"01/18/2017"
"NHLBI",0.1,30.2,8.2,0.8,1.5,1,0.3,25.1,13.2,0,216,160.6,0,0.1,0,0.8,216.7,68.8,"01/18/2017"
"NIAMS",0,5.1,1.2,7.8,8.2,8.1,3.9,4,3.9,NA,NA,NA,NA,NA,NA,11.7,12.1,12,"01/18/2017"
"NIDDK",0,0,0,0.1,0.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,"01/18/2017"
"NIGMS",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/18/2017"
"NINDS",5.1,5.1,5.1,0.6,0.8,0.7,34,34,34,NA,NA,NA,0.2,0.2,0.2,0.8,34.8,17.8,"01/18/2017"
"All DACs",0,30.2,4.3,0,8.2,1.4,0,34,7,0,216,127.2,0,6,0.3,0.1,216.7,23.5,"01/18/2017"
"ES DAC",5,5,5,1.1,1.1,1.1,8.7,8.7,8.7,NA,NA,NA,NA,NA,NA,9.8,9.8,9.8,"01/19/2017"
"JAAMH",0,15.2,5.7,0,13.8,2.4,7.2,13.9,12.5,NA,NA,NA,5.9,5.9,5.9,0,21,9.4,"01/19/2017"
"NCI DAC",0,16,5.2,0.1,4.8,2.6,0,10,4,0,0,0,0.1,0.1,0.1,0.2,14.3,6.5,"01/19/2017"
"NHGRI",0,16,3.5,0.1,4.2,1.3,0,2.3,0.7,NA,NA,NA,NA,NA,NA,0.1,6.5,1.9,"01/19/2017"
"NHLBI",0,15.2,1,3.7,4.1,4,0.1,21.3,11.5,14.9,14.9,14.9,NA,NA,NA,3.9,25,15.7,"01/19/2017"
"NIDDK",15.2,15.2,15.2,0.8,0.8,0.8,0,0,0,NA,NA,NA,NA,NA,NA,0.8,0.8,0.8,"01/19/2017"
"NINDS",0,28.4,14.2,0.1,0.3,0.2,0,0.2,0.1,NA,NA,NA,NA,NA,NA,0.1,0.6,0.4,"01/19/2017"
"All DACs",0,28.4,4.3,0,13.8,2.7,0,21.3,8,0,14.9,7.5,0.1,5.9,3,0,25,9.6,"01/19/2017"
"JAAMH",0,7.9,0.4,2.8,13.2,10.2,7.2,36,15.3,NA,NA,NA,NA,NA,NA,20,38.8,25.5,"01/20/2017"
"NCI DAC",0,15,1.2,2,3.8,3,0,57.9,7.5,0,0,0,0.1,0.1,0.1,2,60.9,5.8,"01/20/2017"
"NHGRI",0,0,0,2.1,2.1,2.1,0,0,0,NA,NA,NA,NA,NA,NA,2.1,2.1,2.1,"01/20/2017"
"NHLBI",0,1,0.2,3,3.2,3,10.3,15,13.8,0,0,0,0,0,0,3,18,7,"01/20/2017"
"NICHD",0,0,0,3.8,3.8,3.8,0,0,0,0,0,0,NA,NA,NA,3.8,3.8,3.8,"01/20/2017"
"NINDS",0,0,0,6,6,6,0,17.8,2.8,NA,NA,NA,NA,NA,NA,6,23.8,8.8,"01/20/2017"
"All DACs",0,15,0.5,2,13.2,4.7,0,57.9,8,0,0,0,0,0.1,0.1,2,60.9,10,"01/20/2017"
"All DACs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/21/2017"
"NCI DAC",9.9,10,10,0.4,0.8,0.7,0,0,0,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,"01/22/2017"
"NHGRI",0.2,1.2,0.7,0.4,0.7,0.5,0,0,0,NA,NA,NA,NA,NA,NA,0.4,0.7,0.5,"01/22/2017"
"NHLBI",0.1,0.2,0.1,1.8,1.8,1.8,NA,NA,NA,0,0,0,NA,NA,NA,1.8,1.8,1.8,"01/22/2017"
"All DACs",0.1,10,6.2,0.4,1.8,0.9,0,0,0,0,0,0,NA,NA,NA,0.4,1.8,1,"01/22/2017"
"JAAMH",0,6,4.5,2.8,10,7.7,0,33,10.2,NA,NA,NA,0.1,0.1,0.1,2.8,35.9,17.7,"01/23/2017"
"NCI DAC",0,39,4,0,7,1.1,0,48.8,10.6,0,596.9,150,2.1,41.1,8.6,0,597.5,36.2,"01/23/2017"
"NHGRI",0,11.4,3.6,0,6.6,0.6,0,8.1,0.4,0,2.3,1.1,NA,NA,NA,0,14.7,1,"01/23/2017"
"NHLBI",0,31.9,14.3,0.8,1.9,1.4,13.2,42.2,24.9,0,0,0,7.3,41.8,26.2,1.4,43.3,24.3,"01/23/2017"
"NIAID",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/23/2017"
"NIAMS",0,0,0,3.1,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/23/2017"
"NICHD",6,6,6,0.9,0.9,0.9,15,15,15,NA,NA,NA,NA,NA,NA,15.9,15.9,15.9,"01/23/2017"
"NIDDK",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,"01/23/2017"
"NIGMS",2.8,2.8,2.8,22.3,22.3,22.3,0,0,0,NA,NA,NA,NA,NA,NA,22.3,22.3,22.3,"01/23/2017"
"All DACs",0,39,6.5,0,22.3,3.1,0,48.8,8.9,0,596.9,60.2,0.1,41.8,21.7,0,597.5,18.9,"01/23/2017"
"CDAC",0.7,0.7,0.7,0.3,0.3,0.3,2.8,2.8,2.8,NA,NA,NA,NA,NA,NA,3.1,3.1,3.1,"01/24/2017"
"JAAMH",0,19.1,4.7,1.7,9,7.9,7.2,33,12.6,NA,NA,NA,0,4,0.3,5.8,34.7,15.5,"01/24/2017"
"NCI DAC",0.1,27,7.4,0,2.1,0.9,0,81.8,18.3,NA,NA,NA,0.8,0.8,0.8,0.1,84,17.6,"01/24/2017"
"NHGRI",0,27,12.5,0.3,6,2.1,0,21.2,3.4,0,0,0,NA,NA,NA,0.3,22.3,4.8,"01/24/2017"
"NHLBI",1,19,13,0.7,0.8,0.7,20.3,41.5,34.4,NA,NA,NA,NA,NA,NA,21,42.2,35.2,"01/24/2017"
"NIDDK",0,0,0,1.1,1.1,1.1,0,0,0,NA,NA,NA,NA,NA,NA,1.1,1.1,1.1,"01/24/2017"
"NIGMS",0.7,0.7,0.7,21.1,21.1,21.1,0,0,0,NA,NA,NA,NA,NA,NA,21.1,21.1,21.1,"01/24/2017"
"NINDS",1,1,1,2,2,2,0,0,0,NA,NA,NA,NA,NA,NA,2,2,2,"01/24/2017"
"All DACs",0,27,7.5,0,21.1,4.7,0,81.8,10.2,0,0,0,0,4,0.3,0.1,84,12.4,"01/24/2017"
"ES DAC",0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/25/2017"
"JAAMH",0,1.9,1,7.8,8,7.9,7.2,7.2,7.2,NA,NA,NA,0.1,0.1,0.1,8,15.2,12.7,"01/25/2017"
"NCI DAC",0,6.2,0.7,0.1,4.9,1.1,0,40.9,7.3,0,0,0,NA,NA,NA,0.1,41.3,7.4,"01/25/2017"
