"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"NCI DAC",1.9,1.9,1.9,2.4,2.4,2.4,0,0,0,NA,NA,NA,NA,NA,NA,2.4,2.4,2.4,"01/01/2017"
"All DACs",1.9,1.9,1.9,2.4,2.4,2.4,0,0,0,NA,NA,NA,NA,NA,NA,2.4,2.4,2.4,"01/01/2017"
"JAAMH",0,25.7,23.7,1.1,3.3,2.9,7.2,55.9,11.6,NA,NA,NA,1,1,1,3.7,57,10.1,"01/02/2017"
"NCI DAC",0,3,2.5,0.7,1.2,0.8,0,0.1,0.1,NA,NA,NA,NA,NA,NA,0.7,1.2,0.8,"01/02/2017"
"NEI",0.5,0.5,0.5,41.9,41.9,41.9,0,0,0,NA,NA,NA,NA,NA,NA,41.9,41.9,41.9,"01/02/2017"
"NHGRI",0,25.7,13.9,0.7,1,0.9,0,0,0,NA,NA,NA,NA,NA,NA,0.7,1.4,0.9,"01/02/2017"
"NHLBI",0.5,3.5,2,1,1.2,1.1,28.5,28.5,28.5,29,29,29,NA,NA,NA,29.7,30,29.8,"01/02/2017"
"NIAMS",0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA,1.8,1.8,1.8,"01/02/2017"
"NIDDK",0.5,0.5,0.5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,"01/02/2017"
"NINDS",0.5,0.5,0.5,1,1,1,0,3.2,0.8,NA,NA,NA,0,0,0,1,4.2,1.6,"01/02/2017"
